hcp,specialty,region,brand,month,channel,count
39972,Internal medicine / pneumology,region_61,brand_1,2020-05,video,1
64026,General practicioner,region_168,brand_2,2020-05,phone,1
27892,Internal medicine,region_26,brand_2,2020-06,phone,1
33500,General practicioner,region_26,brand_2,2020-06,phone,1
61239,General practicioner,region_26,brand_2,2020-06,phone,1
67756,Internal medicine,region_26,brand_2,2020-06,phone,1
70722,General practicioner,region_26,brand_2,2020-06,phone,1
74074,General practicioner,region_26,brand_2,2020-06,phone,1
80185,General practicioner,region_26,brand_2,2020-06,phone,1
81784,General practicioner,region_26,brand_2,2020-06,phone,1
86740,General practicioner,region_26,brand_2,2020-06,phone,1
12420,Internal medicine / pneumology,region_31,brand_2,2020-06,phone,1
39681,Internal medicine / pneumology,region_31,brand_2,2020-06,phone,1
35573,Internal medicine / pneumology,region_67,brand_2,2020-06,video,1
58168,General practicioner,region_67,brand_2,2020-06,video,1
39332,Internal medicine / pneumology,region_72,brand_2,2020-06,phone,1
45161,Internal medicine / pneumology,region_72,brand_2,2020-06,phone,1
49354,Internal medicine / pneumology,region_72,brand_2,2020-06,phone,1
4837,General practicioner,region_75,brand_2,2020-06,phone,1
22383,Internal medicine,region_75,brand_2,2020-06,phone,1
25093,General practicioner,region_75,brand_2,2020-06,phone,1
25147,Internal medicine,region_75,brand_2,2020-06,phone,1
34999,Internal medicine,region_75,brand_2,2020-06,phone,1
43891,Internal medicine,region_75,brand_2,2020-06,phone,1
43931,Internal medicine,region_75,brand_2,2020-06,phone,1
48541,General practicioner,region_75,brand_2,2020-06,phone,1
48548,General practicioner,region_75,brand_2,2020-06,phone,1
49844,Internal medicine,region_75,brand_2,2020-06,phone,1
51861,General practicioner,region_75,brand_2,2020-06,phone,1
54686,Internal medicine,region_75,brand_2,2020-06,phone,1
54821,Internal medicine,region_75,brand_2,2020-06,phone,1
58507,Internal medicine,region_75,brand_2,2020-06,phone,1
62823,General practicioner,region_75,brand_2,2020-06,phone,1
64309,Internal medicine,region_75,brand_2,2020-06,phone,1
65652,Internal medicine,region_75,brand_2,2020-06,phone,1
65921,General practicioner,region_75,brand_2,2020-06,phone,1
67830,General practicioner,region_75,brand_2,2020-06,phone,1
68645,General practicioner,region_75,brand_2,2020-06,phone,1
73798,General practicioner,region_75,brand_2,2020-06,phone,1
77407,General practicioner,region_75,brand_2,2020-06,phone,1
77531,General practicioner,region_75,brand_2,2020-06,phone,1
85170,General practicioner,region_75,brand_2,2020-06,phone,1
15299,General practicioner,region_112,brand_2,2020-06,phone,1
35992,Internal medicine / pneumology,region_112,brand_2,2020-06,phone,1
23025,Internal medicine / pneumology,region_157,brand_2,2020-06,phone,1
12271,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
15799,General practicioner,region_0,brand_2,2020-07,f2f,1
20013,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
22682,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,2
22682,Internal medicine / pneumology,region_0,brand_2,2020-07,phone,1
24542,General practicioner,region_0,brand_2,2020-07,f2f,1
28665,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
28698,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
37056,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
54428,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
58958,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
76784,Internal medicine / pneumology,region_0,brand_2,2020-07,f2f,1
86724,Pediatrician,region_0,brand_2,2020-07,f2f,1
86726,Pediatrician,region_0,brand_2,2020-07,f2f,1
4005,General practicioner,region_1,brand_2,2020-07,phone,1
9113,General practicioner,region_1,brand_2,2020-07,phone,1
15154,Internal medicine,region_1,brand_2,2020-07,f2f,1
17052,Internal medicine / pneumology,region_1,brand_2,2020-07,f2f,1
18043,Internal medicine / pneumology,region_1,brand_2,2020-07,f2f,1
18043,Internal medicine / pneumology,region_1,brand_2,2020-07,phone,1
19634,Internal medicine / pneumology,region_1,brand_2,2020-07,f2f,1
19781,General practicioner,region_1,brand_2,2020-07,f2f,1
21201,Internal medicine / pneumology,region_1,brand_2,2020-07,f2f,1
24697,Internal medicine,region_1,brand_2,2020-07,phone,1
25171,General practicioner,region_1,brand_2,2020-07,phone,1
26137,General practicioner,region_1,brand_2,2020-07,f2f,1
26137,General practicioner,region_1,brand_2,2020-07,phone,1
26445,Internal medicine / pneumology,region_1,brand_2,2020-07,f2f,1
26445,Internal medicine / pneumology,region_1,brand_2,2020-07,phone,1
26900,Internal medicine,region_1,brand_2,2020-07,phone,1
27010,General practicioner,region_1,brand_2,2020-07,f2f,1
28712,General practicioner,region_1,brand_2,2020-07,phone,1
30993,General practicioner,region_1,brand_2,2020-07,f2f,1
34693,General practicioner,region_1,brand_2,2020-07,f2f,1
38585,Internal medicine,region_1,brand_2,2020-07,f2f,1
38661,General practicioner,region_1,brand_2,2020-07,phone,1
39575,General practicioner,region_1,brand_2,2020-07,f2f,1
40183,General practicioner,region_1,brand_2,2020-07,f2f,1
40363,Internal medicine,region_1,brand_2,2020-07,f2f,1
40467,General practicioner,region_1,brand_2,2020-07,phone,1
41211,General practicioner,region_1,brand_2,2020-07,phone,1
42252,General practicioner,region_1,brand_2,2020-07,phone,1
44324,General practicioner,region_1,brand_2,2020-07,f2f,1
45149,Internal medicine,region_1,brand_2,2020-07,f2f,1
53262,Internal medicine,region_1,brand_2,2020-07,f2f,1
56299,General practicioner,region_1,brand_2,2020-07,phone,1
58368,Internal medicine,region_1,brand_2,2020-07,f2f,1
58647,Internal medicine / pneumology,region_1,brand_2,2020-07,f2f,1
58647,Internal medicine / pneumology,region_1,brand_2,2020-07,phone,1
59151,General practicioner,region_1,brand_2,2020-07,f2f,1
59151,General practicioner,region_1,brand_2,2020-07,phone,1
62298,General practicioner,region_1,brand_2,2020-07,f2f,1
62929,General practicioner,region_1,brand_2,2020-07,f2f,1
62929,General practicioner,region_1,brand_2,2020-07,phone,1
64270,General practicioner,region_1,brand_2,2020-07,phone,1
69344,General practicioner,region_1,brand_2,2020-07,f2f,1
70731,General practicioner,region_1,brand_2,2020-07,phone,1
70766,Internal medicine / pneumology,region_1,brand_2,2020-07,f2f,2
71385,Internal medicine,region_1,brand_2,2020-07,f2f,2
71521,General practicioner,region_1,brand_2,2020-07,f2f,1
71521,General practicioner,region_1,brand_2,2020-07,phone,1
76553,General practicioner,region_1,brand_2,2020-07,f2f,1
76553,General practicioner,region_1,brand_2,2020-07,phone,1
76669,General practicioner,region_1,brand_2,2020-07,f2f,1
79254,General practicioner,region_1,brand_2,2020-07,f2f,1
1613,General practicioner,region_2,brand_2,2020-07,f2f,1
11837,General practicioner,region_2,brand_2,2020-07,f2f,1
16954,Internal medicine,region_2,brand_2,2020-07,f2f,1
17919,General practicioner,region_2,brand_2,2020-07,f2f,1
17998,General practicioner,region_2,brand_2,2020-07,f2f,1
18015,Internal medicine,region_2,brand_2,2020-07,f2f,1
18635,General practicioner,region_2,brand_2,2020-07,f2f,1
29031,General practicioner,region_2,brand_2,2020-07,f2f,1
29145,Internal medicine,region_2,brand_2,2020-07,f2f,1
35006,General practicioner,region_2,brand_2,2020-07,f2f,1
37906,General practicioner,region_2,brand_2,2020-07,f2f,1
39304,Internal medicine,region_2,brand_2,2020-07,f2f,1
39746,General practicioner,region_2,brand_2,2020-07,phone,2
42097,General practicioner,region_2,brand_2,2020-07,f2f,1
43351,General practicioner,region_2,brand_2,2020-07,f2f,1
43731,Internal medicine / pneumology,region_2,brand_2,2020-07,f2f,1
44684,General practicioner,region_2,brand_2,2020-07,f2f,1
48585,General practicioner,region_2,brand_2,2020-07,f2f,1
55525,General practicioner,region_2,brand_2,2020-07,phone,1
56017,Internal medicine / pneumology,region_2,brand_2,2020-07,f2f,1
56113,Internal medicine,region_2,brand_2,2020-07,f2f,2
56658,General practicioner,region_2,brand_2,2020-07,f2f,1
57221,Internal medicine and general practicioner,region_2,brand_2,2020-07,f2f,1
59115,General practicioner,region_2,brand_2,2020-07,f2f,1
59964,General practicioner,region_2,brand_2,2020-07,f2f,1
60320,General practicioner,region_2,brand_2,2020-07,f2f,1
62959,General practicioner,region_2,brand_2,2020-07,f2f,1
64462,General practicioner,region_2,brand_2,2020-07,f2f,1
64699,General practicioner,region_2,brand_2,2020-07,f2f,1
65225,General practicioner,region_2,brand_2,2020-07,f2f,1
66998,General practicioner,region_2,brand_2,2020-07,f2f,1
74012,General practicioner,region_2,brand_2,2020-07,phone,1
78425,General practicioner,region_2,brand_2,2020-07,phone,1
83471,General practicioner,region_2,brand_2,2020-07,f2f,1
86602,General practicioner,region_2,brand_2,2020-07,f2f,1
18186,Internal medicine / pneumology,region_3,brand_2,2020-07,f2f,2
18701,General practicioner,region_3,brand_2,2020-07,f2f,1
20024,Internal medicine,region_3,brand_2,2020-07,f2f,2
21523,Internal medicine,region_3,brand_2,2020-07,f2f,1
24263,General practicioner,region_3,brand_2,2020-07,f2f,1
31311,Internal medicine,region_3,brand_2,2020-07,f2f,1
31374,Internal medicine / pneumology,region_3,brand_2,2020-07,f2f,4
31374,Internal medicine / pneumology,region_3,brand_2,2020-07,video,2
36532,General practicioner,region_3,brand_2,2020-07,f2f,1
37018,Internal medicine,region_3,brand_2,2020-07,video,1
