hcp,tier,region,specialty
83,2,region_59,Internal medicine
112,1,region_103,Internal medicine
307,2,region_33,Internal medicine / pneumology
387,2,region_97,Internal medicine / pneumology
426,1,region_118,General practicioner
534,1,region_147,Internal medicine
608,1,region_86,Internal medicine
692,2,region_138,Internal medicine
703,2,region_57,General practicioner
739,3,region_112,General practicioner
748,2,region_31,General practicioner
769,2,region_49,General practicioner
815,2,region_136,Internal medicine
820,3,region_72,General practicioner
832,2,region_52,Internal medicine
856,2,region_71,Internal medicine
1078,1,region_92,Internal medicine
1319,2,region_163,Internal medicine / pneumology
1389,2,region_78,Internal medicine
1438,2,region_64,Internal medicine
1449,1,region_75,Internal medicine
1464,1,region_63,Internal medicine / pneumology
1492,1,region_115,Internal medicine / pneumology
1500,1,region_34,Internal medicine / pneumology
1519,2,region_49,General practicioner
1521,2,region_9,Pediatrician
1551,3,region_134,General practicioner
1608,2,region_198,General practicioner
1629,2,region_30,Internal medicine
1634,2,region_156,General practicioner
1753,1,region_105,Internal medicine / pneumology
1994,1,region_145,Internal medicine
2223,2,region_37,Internal medicine
2272,2,region_52,Internal medicine
2302,1,region_124,Internal medicine / pneumology
2368,2,region_39,General practicioner
2382,2,region_83,General practicioner
2428,2,region_121,General practicioner
2503,2,region_182,General practicioner
2506,1,region_32,Internal medicine / pneumology
2902,1,region_63,Internal medicine
2965,1,region_154,Internal medicine
3101,3,region_166,General practicioner
3143,1,region_23,Internal medicine / pneumology
3176,2,region_164,Internal medicine
3215,1,region_182,Internal medicine / pneumology
3261,2,region_22,Internal medicine
3642,1,region_70,Internal medicine / pneumology
3835,1,region_27,Internal medicine / pneumology
3942,2,region_200,General practicioner
3998,2,region_83,Internal medicine
4025,2,region_150,General practicioner
4026,2,region_86,Internal medicine
4050,2,region_25,Internal medicine
4073,3,region_166,General practicioner
4101,2,region_71,General practicioner
4134,3,region_131,Internal medicine
4141,2,region_113,General practicioner
4276,1,region_161,Internal medicine
4652,2,region_83,Internal medicine
4704,2,region_110,General practicioner
4707,1,region_188,Internal medicine / pneumology
4731,2,region_200,General practicioner
4733,1,region_106,Internal medicine
4735,1,region_24,General practicioner
4793,3,region_131,General practicioner
4865,2,region_101,Internal medicine
4874,1,region_191,Internal medicine / pneumology
4894,3,region_166,General practicioner
4899,1,region_20,Internal medicine / pneumology
5003,1,region_175,Internal medicine
5087,1,region_11,Internal medicine
5244,1,region_137,Internal medicine / pneumology
5354,2,region_21,Internal medicine
5404,1,region_68,Internal medicine
5634,2,region_55,Internal medicine
5659,3,region_131,Internal medicine
5674,2,region_52,Internal medicine
5912,1,region_142,Internal medicine / pneumology
6450,2,region_160,Internal medicine
6457,3,region_112,Internal medicine
6561,2,region_90,Internal medicine
6772,2,region_11,Internal medicine
7031,2,region_83,Internal medicine
7255,2,region_57,Internal medicine
7407,2,region_198,General practicioner
7610,2,region_52,Internal medicine
7619,1,region_161,Internal medicine / pneumology
8104,1,region_9,Internal medicine / pneumology
8108,1,region_127,Internal medicine / pneumology
8121,2,region_9,General practicioner
8150,1,region_65,Internal medicine / pneumology
8230,1,region_15,Internal medicine / pneumology
8448,1,region_177,Internal medicine / pneumology
9011,1,region_19,Internal medicine
9049,1,region_141,Internal medicine / pneumology
9051,3,region_111,General practicioner
9101,3,region_112,General practicioner
9107,2,region_131,General practicioner
9113,2,region_1,General practicioner
9124,1,region_62,Internal medicine / pneumology
9185,2,region_192,General practicioner
9880,2,region_181,General practicioner
9892,2,region_57,Internal medicine
10021,2,region_98,General practicioner
10689,1,region_172,Internal medicine
10858,2,region_19,Internal medicine
10879,2,region_69,General practicioner
10918,2,region_98,General practicioner
10932,2,region_12,General practicioner
10959,2,region_131,Internal medicine
10973,1,region_96,Internal medicine / pneumology
11088,1,region_175,Internal medicine / pneumology
11226,1,region_196,Internal medicine
11387,2,region_86,General practicioner
11770,2,region_52,General practicioner
11775,3,region_180,General practicioner
11783,3,region_112,General practicioner
11792,2,region_52,General practicioner
11829,2,region_110,Internal medicine
11898,1,region_84,Internal medicine
11912,1,region_61,Internal medicine / pneumology
11938,1,region_175,Internal medicine
11988,1,region_147,Internal medicine / pneumology
12111,1,region_95,Internal medicine / pneumology
12116,2,region_70,Internal medicine
12172,1,region_52,Internal medicine / pneumology
12229,1,region_158,Internal medicine / pneumology
12271,1,region_0,Internal medicine / pneumology
12303,3,region_118,General practicioner
12306,1,region_78,General practicioner
12335,1,region_62,Internal medicine / pneumology
12371,2,region_159,General practicioner
12384,1,region_67,Internal medicine / pneumology
12396,1,region_63,Internal medicine / pneumology
12415,2,region_182,Internal medicine
12420,1,region_31,Internal medicine / pneumology
12423,2,region_139,General practicioner
12452,2,region_79,Internal medicine
12490,2,region_74,Internal medicine
12502,2,region_11,General practicioner
12505,2,region_195,General practicioner
12518,2,region_87,General practicioner
12555,2,region_103,Internal medicine
12560,2,region_200,General practicioner
12576,3,region_36,General practicioner
12584,2,region_158,Internal medicine
12624,2,region_87,Internal medicine
12625,2,region_94,General practicioner
12666,2,region_57,General practicioner
12700,2,region_192,General practicioner
12720,2,region_131,General practicioner
12763,1,region_61,Internal medicine / pneumology
12831,2,region_132,Internal medicine
12857,2,region_181,Internal medicine
12893,1,region_196,Internal medicine / pneumology
12904,1,region_167,Internal medicine / pneumology
12907,1,region_134,Internal medicine
13006,1,region_54,Internal medicine / pneumology
13134,1,region_78,Internal medicine / pneumology
13143,2,region_181,Internal medicine / pneumology
13241,3,region_109,General practicioner
13254,2,region_138,Internal medicine
13258,2,region_9,General practicioner
13273,2,region_68,General practicioner
13284,1,region_63,Internal medicine / pneumology
13286,3,region_180,General practicioner
13295,1,region_177,Internal medicine / pneumology
13312,2,region_84,Internal medicine
13313,1,region_21,Internal medicine / pneumology
13351,2,region_52,General practicioner
13372,3,region_180,General practicioner
13389,1,region_8,Internal medicine / pneumology
13413,3,region_134,General practicioner
13438,2,region_189,Internal medicine / pneumology
13454,2,region_139,General practicioner
13475,1,region_50,Internal medicine / pneumology
13511,2,region_136,Internal medicine
13531,1,region_160,Internal medicine
13544,2,region_33,General practicioner
13604,1,region_132,Internal medicine / pneumology
13630,1,region_69,Internal medicine / pneumology
13631,3,region_106,General practicioner
13659,1,region_24,Internal medicine / pneumology
13681,1,region_155,Internal medicine
13753,1,region_161,Internal medicine
13754,1,region_140,Internal medicine / pneumology
13783,1,region_106,Internal medicine / pneumology
13833,2,region_54,Internal medicine
13842,2,region_88,Internal medicine
13860,2,region_45,Internal medicine
13922,1,region_124,Internal medicine / pneumology
14014,1,region_135,Internal medicine
14041,1,region_49,Internal medicine / pneumology
14114,2,region_97,General practicioner
14118,1,region_153,Internal medicine
14139,2,region_45,General practicioner
14140,2,region_45,General practicioner
14213,1,region_179,Internal medicine / pneumology
14232,2,region_182,Internal medicine
14268,2,region_68,Internal medicine
14290,2,region_70,General practicioner
14295,2,region_95,Internal medicine
14296,2,region_13,General practicioner
14314,2,region_181,Internal medicine
14319,2,region_156,Internal medicine
14321,2,region_52,Internal medicine
14325,2,region_157,General practicioner
14357,2,region_84,General practicioner
14391,1,region_135,Internal medicine / pneumology
14409,3,region_118,General practicioner
14433,2,region_34,General practicioner
14481,1,region_69,Internal medicine / pneumology
14489,1,region_20,Internal medicine / pneumology
14513,2,region_49,General practicioner
14565,1,region_41,Internal medicine / pneumology
14648,1,region_88,Internal medicine / pneumology
14663,1,region_196,Internal medicine
14682,1,region_130,Internal medicine / pneumology
14688,2,region_114,Internal medicine
14690,1,region_178,Internal medicine / pneumology
14759,1,region_185,Internal medicine / pneumology
14832,1,region_94,Internal medicine
14869,1,region_159,Internal medicine
14873,1,region_8,Internal medicine / pneumology
15020,1,region_176,Internal medicine / pneumology
15045,2,region_147,Internal medicine
15065,2,region_45,General practicioner
15090,1,region_125,Internal medicine / pneumology
15154,2,region_1,Internal medicine
15165,2,region_79,Internal medicine
15190,2,region_167,General practicioner
15206,2,region_38,General practicioner
15270,2,region_154,Internal medicine
15274,1,region_165,Internal medicine / pneumology
15357,1,region_30,Internal medicine / pneumology
15381,2,region_147,Internal medicine
15402,1,region_133,Internal medicine / pneumology
15420,1,region_176,Internal medicine / pneumology
15430,1,region_126,Internal medicine / pneumology
15448,2,region_71,Internal medicine
15470,1,region_122,Internal medicine / pneumology
15473,1,region_117,Internal medicine / pneumology
15496,2,region_200,Internal medicine
15507,1,region_63,Internal medicine / pneumology
