region,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine / pneumology,nr_interactions_Internal medicine / pneumology,unique_hcp_count_Internal medicine,activity_count_Internal medicine,nr_interactions_Internal medicine,market_potential_Internal medicine
region_0,13.0,37.0,49.0,12.0,14.0,14.0,10666956.92
region_1,7.0,83.0,113.0,36.0,134.0,156.0,6803632.8
region_10,1.0,3.0,5.0,24.0,27.0,32.0,5437642.050000001
region_100,5.0,34.0,48.0,14.0,30.0,32.0,5342599.840000001
region_101,1.0,2.0,2.0,7.0,9.0,9.0,3954334.4899999998
region_102,13.0,41.0,49.0,26.0,35.0,35.0,11910735.370000001
region_103,11.0,31.0,38.0,49.0,67.0,71.0,6544869.69
region_104,6.0,49.0,66.0,20.0,58.0,63.0,6420503.619999999
region_105,10.0,53.0,72.0,29.0,45.0,47.0,6350691.470000001
region_106,26.0,175.0,225.0,21.0,53.0,64.0,9777991.14
region_107,10.0,49.0,58.0,42.0,77.0,83.0,6441113.799999999
region_108,18.0,91.0,128.0,20.0,31.0,33.0,8226746.22
region_109,8.0,40.0,56.0,39.0,76.0,93.0,8442275.69
region_11,2.0,4.0,4.0,9.0,10.0,11.0,4606186.5600000005
region_110,2.0,13.0,20.0,26.0,37.0,37.0,3448287.96
region_111,0.0,0.0,0.0,15.0,17.0,17.0,5734835.419999999
region_112,2.0,8.0,8.0,11.0,20.0,23.0,3476175.74
region_113,4.0,15.0,17.0,2.0,8.0,10.0,5027536.37
region_114,11.0,39.0,44.0,21.0,40.0,42.0,5495741.379999999
region_115,7.0,26.0,27.0,41.0,116.0,118.0,8820272.110000001
region_116,5.0,26.0,40.0,9.0,11.0,11.0,5792704.02
region_117,11.0,36.0,44.0,9.0,10.0,11.0,7024997.2
region_118,3.0,9.0,9.0,12.0,21.0,21.0,3421435.3000000003
region_119,7.0,31.0,33.0,20.0,54.0,58.0,4455830.79
region_12,5.0,13.0,14.0,6.0,6.0,6.0,5026244.9799999995
