region,activity_count_Internal medicine / pneumology,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine,nr_interactions_Internal medicine,nr_interactions_Internal medicine / pneumology,nr_interactions_General practicioner,activity_count_General practicioner,unique_hcp_count_General practicioner,unique_hcp_count_Internal medicine,market_potential_Internal medicine
region_0,45.0,13.0,10.0,10.0,65.0,23.0,23.0,20.0,9.0,10666956.92
region_1,61.0,7.0,56.0,66.0,73.0,163.0,157.0,66.0,19.0,6803632.8
region_10,3.0,1.0,10.0,10.0,5.0,23.0,23.0,19.0,8.0,5437642.050000001
region_100,30.0,5.0,45.0,49.0,43.0,151.0,145.0,77.0,22.0,5342599.840000001
region_101,2.0,1.0,19.0,20.0,2.0,38.0,38.0,28.0,13.0,3954334.4899999998
region_102,48.0,17.0,25.0,27.0,55.0,22.0,20.0,19.0,19.0,11910735.370000001
region_103,29.0,11.0,15.0,16.0,37.0,11.0,8.0,8.0,14.0,6544869.69
region_104,44.0,6.0,53.0,58.0,54.0,197.0,182.0,61.0,16.0,6420503.619999999
region_105,47.0,10.0,23.0,23.0,65.0,13.0,13.0,11.0,16.0,6350691.470000001
region_106,108.0,23.0,31.0,38.0,157.0,76.0,68.0,29.0,16.0,9777991.14
region_107,55.0,10.0,81.0,88.0,64.0,88.0,86.0,53.0,43.0,6441113.799999999
region_108,73.0,16.0,32.0,34.0,104.0,93.0,85.0,43.0,19.0,8226746.22
region_109,36.0,8.0,51.0,52.0,36.0,37.0,37.0,23.0,24.0,8442275.69
region_11,3.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4606186.5600000005
region_110,12.0,2.0,39.0,40.0,17.0,58.0,57.0,38.0,26.0,3448287.96
region_111,5.0,4.0,17.0,17.0,7.0,51.0,51.0,42.0,17.0,5734835.419999999
region_112,4.0,1.0,24.0,27.0,4.0,124.0,118.0,58.0,12.0,3476175.74
region_113,16.0,4.0,7.0,10.0,19.0,6.0,6.0,5.0,2.0,5027536.37
region_114,24.0,14.0,25.0,27.0,30.0,39.0,39.0,34.0,14.0,5495741.379999999
region_115,27.0,7.0,120.0,122.0,30.0,185.0,183.0,88.0,43.0,8820272.110000001
region_116,23.0,5.0,15.0,15.0,39.0,48.0,47.0,29.0,10.0,5792704.02
region_117,34.0,12.0,5.0,6.0,38.0,10.0,9.0,9.0,5.0,7024997.2
region_118,4.0,3.0,20.0,20.0,4.0,44.0,44.0,28.0,10.0,3421435.3000000003
region_119,24.0,5.0,40.0,40.0,24.0,50.0,50.0,34.0,18.0,4455830.79
region_12,13.0,5.0,2.0,2.0,18.0,36.0,36.0,32.0,2.0,5026244.9799999995
region_120,34.0,6.0,23.0,25.0,40.0,38.0,37.0,21.0,15.0,3888017.610000001
region_121,19.0,7.0,8.0,8.0,24.0,36.0,36.0,36.0,8.0,7981287.219999999
region_122,48.0,13.0,27.0,28.0,54.0,67.0,66.0,44.0,23.0,5335549.500000001
region_123,24.0,14.0,19.0,21.0,28.0,47.0,45.0,30.0,12.0,7236248.56
region_124,28.0,6.0,13.0,14.0,35.0,27.0,23.0,20.0,12.0,6497046.980000001
region_125,23.0,5.0,7.0,7.0,27.0,33.0,31.0,23.0,6.0,5634750.710000001
region_126,93.0,14.0,15.0,20.0,123.0,1.0,1.0,1.0,4.0,6292717.960000001
region_127,29.0,13.0,38.0,39.0,30.0,71.0,71.0,56.0,24.0,8280020.49
region_128,64.0,9.0,72.0,76.0,105.0,105.0,100.0,52.0,32.0,5795634.7700000005
region_129,13.0,5.0,18.0,19.0,16.0,46.0,46.0,28.0,13.0,5157128.649999999
region_13,12.0,4.0,7.0,7.0,17.0,61.0,61.0,50.0,5.0,8049626.930000001
region_130,31.0,7.0,50.0,51.0,40.0,107.0,106.0,42.0,19.0,5515496.25
region_131,57.0,9.0,93.0,95.0,60.0,160.0,154.0,63.0,28.0,9771452.800000003
region_132,80.0,17.0,95.0,114.0,143.0,135.0,126.0,80.0,41.0,9740842.179999998
region_133,11.0,3.0,20.0,21.0,11.0,34.0,34.0,22.0,12.0,5101049.139999999
region_134,70.0,14.0,5.0,5.0,86.0,14.0,13.0,11.0,5.0,5502645.14
region_135,35.0,11.0,7.0,8.0,46.0,23.0,23.0,16.0,6.0,6110630.529999999
region_136,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,3508836.960000001
region_137,12.0,5.0,9.0,9.0,12.0,18.0,18.0,18.0,8.0,5354417.08
region_138,37.0,7.0,16.0,16.0,42.0,58.0,58.0,32.0,7.0,4167984.12
region_139,7.0,2.0,1.0,1.0,8.0,11.0,11.0,9.0,1.0,3412683.1800000006
region_14,13.0,5.0,5.0,5.0,14.0,1.0,1.0,1.0,3.0,6131630.849999999
region_140,12.0,9.0,24.0,25.0,12.0,105.0,103.0,67.0,14.0,6843535.3100000005
region_141,4.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,2365808.8000000003
region_142,66.0,12.0,39.0,43.0,78.0,15.0,14.0,12.0,28.0,11294991.860000001
region_143,28.0,4.0,15.0,15.0,37.0,59.0,55.0,21.0,9.0,4108349.35
region_144,7.0,1.0,8.0,9.0,11.0,5.0,5.0,1.0,1.0,4553174.55
region_145,33.0,9.0,6.0,7.0,36.0,9.0,9.0,7.0,4.0,7146645.94
region_146,14.0,4.0,25.0,28.0,15.0,69.0,66.0,42.0,18.0,4713009.03
region_147,37.0,11.0,7.0,8.0,42.0,19.0,17.0,17.0,6.0,6111912.43
region_148,28.0,7.0,8.0,10.0,30.0,34.0,32.0,30.0,6.0,6432939.579999999
region_149,27.0,9.0,12.0,12.0,34.0,7.0,7.0,7.0,7.0,7862356.959999999
region_15,20.0,5.0,26.0,28.0,21.0,100.0,94.0,72.0,18.0,6245946.180000001
region_150,30.0,8.0,90.0,93.0,39.0,173.0,169.0,107.0,50.0,9670167.809999999
region_151,12.0,6.0,18.0,18.0,17.0,20.0,20.0,16.0,13.0,4174836.4499999997
region_152,13.0,5.0,23.0,23.0,13.0,44.0,42.0,26.0,14.0,3667959.759999999
region_153,48.0,14.0,17.0,18.0,59.0,38.0,37.0,27.0,13.0,7194160.059999998
region_154,73.0,14.0,29.0,29.0,86.0,36.0,36.0,25.0,22.0,8176741.020000001
region_155,8.0,4.0,20.0,21.0,10.0,35.0,35.0,29.0,14.0,6022541.079999999
region_156,42.0,4.0,71.0,74.0,63.0,81.0,80.0,40.0,31.0,4506250.600000001
region_157,28.0,10.0,26.0,32.0,33.0,63.0,57.0,35.0,17.0,8341732.380000001
region_158,27.0,6.0,22.0,27.0,30.0,34.0,29.0,24.0,17.0,5567696.59
region_159,51.0,10.0,14.0,16.0,59.0,52.0,48.0,20.0,10.0,6882339.690000001
region_16,52.0,9.0,20.0,21.0,69.0,32.0,31.0,15.0,10.0,6964632.539999999
region_160,63.0,10.0,57.0,61.0,92.0,52.0,52.0,30.0,25.0,6307966.439999999
region_161,13.0,4.0,8.0,8.0,13.0,9.0,9.0,9.0,8.0,2965750.3200000008
region_162,24.0,7.0,39.0,41.0,26.0,80.0,75.0,46.0,25.0,4997244.1899999995
region_163,69.0,11.0,21.0,21.0,93.0,47.0,47.0,30.0,19.0,6606687.1899999995
region_164,120.0,14.0,81.0,90.0,183.0,33.0,33.0,18.0,30.0,9847808.209999997
region_165,54.0,13.0,17.0,17.0,65.0,39.0,39.0,34.0,15.0,9314369.479999999
region_166,10.0,3.0,10.0,10.0,15.0,24.0,24.0,19.0,7.0,3723237.2399999998
region_167,31.0,9.0,49.0,59.0,42.0,37.0,31.0,24.0,20.0,5160784.120000001
region_168,18.0,7.0,68.0,77.0,21.0,145.0,132.0,70.0,41.0,7374602.469999999
region_169,28.0,4.0,14.0,14.0,30.0,75.0,68.0,19.0,7.0,4692080.62
region_17,28.0,6.0,36.0,36.0,32.0,88.0,87.0,56.0,30.0,7180680.75
region_170,58.0,18.0,13.0,15.0,80.0,48.0,38.0,32.0,12.0,7582228.32
region_171,4.0,2.0,24.0,28.0,4.0,61.0,50.0,32.0,10.0,4826953.22
region_172,34.0,9.0,37.0,37.0,34.0,48.0,48.0,31.0,17.0,4199344.41
region_173,53.0,9.0,70.0,75.0,61.0,190.0,174.0,89.0,45.0,10052807.620000001
region_174,15.0,5.0,2.0,2.0,19.0,25.0,25.0,18.0,1.0,9225381.299999999
region_175,29.0,10.0,13.0,16.0,33.0,6.0,6.0,4.0,5.0,6676353.340000001
region_176,37.0,9.0,6.0,8.0,46.0,23.0,22.0,15.0,6.0,6380122.34
region_177,48.0,9.0,41.0,44.0,67.0,126.0,120.0,43.0,16.0,7435483.77
region_178,7.0,4.0,9.0,9.0,11.0,35.0,33.0,27.0,7.0,5155986.2299999995
region_179,99.0,21.0,51.0,57.0,119.0,54.0,53.0,40.0,37.0,12014085.129999999
region_18,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5314858.169999999
region_180,18.0,5.0,8.0,10.0,21.0,76.0,71.0,23.0,4.0,2879016.27
region_181,23.0,7.0,26.0,27.0,28.0,78.0,74.0,44.0,16.0,6171693.600000001
region_182,34.0,8.0,15.0,19.0,57.0,61.0,51.0,38.0,13.0,7071598.79
region_183,13.0,2.0,22.0,23.0,14.0,31.0,31.0,22.0,10.0,3924341.66
region_184,36.0,6.0,24.0,25.0,44.0,82.0,80.0,35.0,12.0,4761846.779999999
region_185,48.0,15.0,80.0,83.0,51.0,94.0,92.0,44.0,33.0,8823923.890000002
region_186,25.0,4.0,9.0,12.0,36.0,13.0,13.0,8.0,3.0,5610900.899999999
region_187,9.0,4.0,42.0,46.0,15.0,139.0,130.0,64.0,24.0,7841224.99
region_188,32.0,8.0,74.0,76.0,34.0,202.0,199.0,117.0,45.0,6014800.379999999
region_189,81.0,20.0,29.0,30.0,90.0,37.0,34.0,26.0,23.0,8272681.28
region_19,74.0,14.0,43.0,45.0,87.0,96.0,92.0,62.0,33.0,12417480.460000003
