region,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine / pneumology,nr_interactions_Internal medicine / pneumology,unique_hcp_count_Internal medicine,activity_count_Internal medicine,nr_interactions_Internal medicine,market_potential_Internal medicine,content_count_Internal medicine / pneumology,mails_sent_Internal medicine / pneumology,unique_content_count_Internal medicine / pneumology,hcp_count_Internal medicine / pneumology,mails_per_hcp_Internal medicine / pneumology,unique_content_count_Internal medicine,content_count_Internal medicine,mails_sent_Internal medicine,content_count_General practicioner,mails_sent_General practicioner
region_0,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,13.0,37.0,49.0,12.0,14.0,14.0,10666956.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
region_1,431383,4701.726213315,45377.70804101765,47137.854236937215,239,7,273,1,42,7.0,83.0,113.0,36.0,134.0,156.0,6803632.8,19.0,19.0,4.0,7.0,2.7142857142857144,11.0,65.0,65.0,176.0,176.0
region_2,318026,2574.94384874,42578.01879346831,44456.38959522513,153,5,182,2,47,2.0,5.0,5.0,14.0,20.0,20.0,4650556.48,11.0,11.0,4.0,1.0,11.0,8.0,74.0,74.0,104.0,104.0
region_3,343861,3639.37347845,46856.49217012814,48564.22884077264,181,11,206,0,30,10.0,76.0,135.0,12.0,21.0,21.0,4712618.0200000005,29.0,29.0,7.0,8.0,3.625,7.0,28.0,28.0,88.0,88.0
region_4,330916,3926.381089415,44462.42167904268,46388.54507009739,151,9,199,0,33,4.0,16.0,20.0,18.0,28.0,28.0,5670948.899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
region_5,286989,1398.2630271,46225.63421035833,47728.70389846647,119,3,198,0,39,3.0,5.0,5.0,2.0,2.0,2.0,3877041.46,25.0,25.0,8.0,3.0,8.333333333333334,6.0,23.0,23.0,145.0,145.0
region_6,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,3.0,19.0,28.0,11.0,21.0,22.0,2676744.87,30.0,30.0,19.0,3.0,10.0,3.0,6.0,6.0,27.0,27.0
region_7,407943,451.9983656349999,38641.22388687272,41094.34746902544,510,40,246,3,137,22.0,76.0,91.0,26.0,39.0,41.0,9259618.28,94.0,94.0,34.0,20.0,4.7,11.0,82.0,82.0,200.0,200.0
region_8,342104,85.250473665,38649.24,41105.12,502,21,204,2,157,8.0,23.0,29.0,7.0,10.0,12.0,4716729.420000001,79.0,79.0,21.0,11.0,7.181818181818182,14.0,92.0,92.0,137.0,137.0
region_9,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,9.0,40.0,51.0,21.0,38.0,41.0,4112566.89,54.0,54.0,15.0,14.0,3.857142857142857,17.0,72.0,72.0,138.0,138.0
region_10,471991,2823.6310998500003,48600.88212134568,50488.57174709858,197,6,265,1,57,1.0,3.0,5.0,24.0,27.0,32.0,5437642.050000001,14.0,14.0,12.0,4.0,3.5,19.0,93.0,93.0,209.0,209.0
region_11,347004,2309.84630162,48882.45762105983,52941.60818689621,144,5,241,1,24,2.0,4.0,4.0,9.0,10.0,11.0,4606186.5600000005,2.0,2.0,2.0,3.0,0.6666666666666666,3.0,10.0,10.0,65.0,65.0
region_12,303208,4751.57647807,43523.60071389123,45486.24426880677,228,10,229,3,18,5.0,13.0,14.0,6.0,6.0,6.0,5026244.98,40.0,40.0,14.0,5.0,8.0,11.0,161.0,161.0,375.0,375.0
region_13,455048,6138.053380519999,45493.38136373606,47721.6925757523,235,5,299,1,43,4.0,10.0,13.0,4.0,4.0,4.0,8049626.930000001,35.0,35.0,10.0,5.0,7.0,4.0,34.0,34.0,184.0,184.0
region_14,378215,2413.69235525,44553.2197051116,46376.73492976648,247,8,237,7,41,5.0,19.0,21.0,5.0,7.0,7.0,6131630.849999999,12.0,12.0,11.0,3.0,4.0,11.0,36.0,36.0,29.0,29.0
region_15,331359,2954.033908245,43899.286950612506,45120.71452461968,209,7,218,4,40,6.0,19.0,20.0,17.0,22.0,23.0,6245946.180000001,10.0,10.0,2.0,6.0,1.6666666666666667,4.0,7.0,7.0,14.0,14.0
region_16,400723,2105.438750675,43428.46785897859,44575.5590026938,185,12,180,5,37,8.0,60.0,79.0,12.0,21.0,23.0,6964632.539999999,8.0,8.0,3.0,5.0,1.6,2.0,2.0,2.0,0.0,0.0
region_17,461318,3554.8038096499995,46190.16084339184,48307.15154935936,337,12,286,2,64,8.0,33.0,40.0,26.0,52.0,53.0,7180680.75,8.0,8.0,3.0,7.0,1.1428571428571428,6.0,13.0,13.0,25.0,25.0
region_18,316807,3603.3811201,41629.98865230625,42975.82194855097,266,14,226,5,48,5.0,10.0,10.0,5.0,5.0,5.0,5314858.169999999,1.0,1.0,1.0,7.0,0.1428571428571428,3.0,5.0,5.0,0.0,0.0
region_19,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,14.0,68.0,81.0,32.0,45.0,46.0,12417480.460000005,217.0,217.0,34.0,14.0,15.5,30.0,256.0,256.0,412.0,412.0
region_20,324990,681.550024385,45163.973492282974,46181.14470036704,206,16,149,1,48,7.0,25.0,27.0,35.0,64.0,68.0,5833519.8900000015,22.0,22.0,4.0,9.0,2.4444444444444446,7.0,34.0,34.0,16.0,16.0
