region,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,activity_count_Internal medicine / pneumology,unique_hcp_count_Internal medicine / pneumology,activity_count_Internal medicine,nr_interactions_Internal medicine,nr_interactions_Internal medicine / pneumology,nr_interactions_General practicioner,activity_count_General practicioner,unique_hcp_count_General practicioner,unique_hcp_count_Internal medicine
region_0,381958,1372.440545005,38799.97238081176,40214.89576209413,315,18,264,2,82,45.0,13.0,10.0,10.0,65.0,23.0,23.0,20.0,9.0
region_1,431383,4701.726213315,45377.70804101765,47137.854236937215,239,7,273,1,42,61.0,7.0,56.0,66.0,73.0,163.0,157.0,66.0,19.0
region_2,318026,2574.94384874,42578.01879346831,44456.38959522513,153,5,182,2,47,6.0,2.0,16.0,17.0,6.0,67.0,62.0,46.0,12.0
region_3,343861,3639.37347845,46856.49217012814,48564.22884077264,181,11,206,0,30,80.0,10.0,26.0,27.0,125.0,72.0,67.0,29.0,13.0
region_4,330916,3926.381089415,44462.42167904268,46388.54507009739,151,9,199,0,33,10.0,5.0,8.0,8.0,11.0,32.0,31.0,28.0,6.0
region_5,286989,1398.2630271,46225.63421035833,47728.70389846647,119,3,198,0,39,7.0,4.0,5.0,5.0,9.0,32.0,31.0,29.0,4.0
region_6,309483,136.71853883,38649.24,41105.12,130,3,140,0,37,19.0,3.0,19.0,20.0,26.0,69.0,64.0,41.0,13.0
region_7,407943,451.9983656349999,38641.22388687272,41094.34746902544,510,40,246,3,137,80.0,22.0,54.0,56.0,92.0,127.0,118.0,73.0,38.0
region_8,342104,85.250473665,38649.24,41105.12,502,21,204,2,157,22.0,8.0,13.0,15.0,29.0,10.0,10.0,9.0,9.0
region_9,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,42.0,9.0,42.0,45.0,56.0,62.0,58.0,40.0,22.0
region_10,471991,2823.6310998500003,48600.88212134568,50488.57174709858,197,6,265,1,57,3.0,1.0,10.0,10.0,5.0,23.0,23.0,19.0,8.0
region_11,347004,2309.84630162,48882.45762105983,52941.60818689621,144,5,241,1,24,3.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0
region_12,303208,4751.57647807,43523.60071389123,45486.24426880677,228,10,229,3,18,13.0,5.0,2.0,2.0,18.0,36.0,36.0,32.0,2.0
region_13,455048,6138.053380519999,45493.38136373606,47721.6925757523,235,5,299,1,43,12.0,4.0,7.0,7.0,17.0,61.0,61.0,50.0,5.0
region_14,378215,2413.69235525,44553.2197051116,46376.73492976648,247,8,237,7,41,13.0,5.0,5.0,5.0,14.0,1.0,1.0,1.0,3.0
region_15,331359,2954.033908245,43899.286950612506,45120.71452461968,209,7,218,4,40,20.0,5.0,26.0,28.0,21.0,100.0,94.0,72.0,18.0
region_16,400723,2105.438750675,43428.46785897859,44575.5590026938,185,12,180,5,37,52.0,9.0,20.0,21.0,69.0,32.0,31.0,15.0,10.0
region_17,461318,3554.8038096499995,46190.16084339184,48307.15154935936,337,12,286,2,64,28.0,6.0,36.0,36.0,32.0,88.0,87.0,56.0,30.0
region_18,316807,3603.3811201,41629.98865230625,42975.82194855097,266,14,226,5,48,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
region_19,459522,64.130789205,38649.24,41105.12,299,17,384,3,71,74.0,14.0,43.0,45.0,87.0,96.0,92.0,62.0,33.0
region_20,324990,681.550024385,45163.973492282974,46181.14470036704,206,16,149,1,48,26.0,9.0,57.0,62.0,29.0,85.0,77.0,47.0,34.0
region_21,297082,360.80529598,44784.45632909552,45981.72217118941,382,17,204,7,118,28.0,13.0,14.0,15.0,31.0,46.0,43.0,30.0,11.0
region_22,341233,487.59933681,37386.11459218471,38418.87174140778,165,8,173,3,31,8.0,4.0,17.0,17.0,8.0,53.0,52.0,33.0,13.0
region_23,392442,1013.9402787699998,43137.67692133163,45189.593294747385,224,22,230,0,83,44.0,10.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
region_24,541116,5200.616483475,42154.98186708018,43863.59104463951,332,22,277,4,88,62.0,17.0,41.0,43.0,76.0,113.0,106.0,63.0,25.0
region_25,344825,4037.238894875,41651.15403583042,43493.05408766624,177,7,181,3,37,18.0,5.0,14.0,16.0,22.0,75.0,69.0,38.0,9.0
region_26,338885,1762.4693887249998,45571.692847022576,46663.394874316575,114,3,155,2,26,15.0,3.0,34.0,36.0,15.0,49.0,48.0,22.0,16.0
region_27,347761,1339.813459055,47802.37814017809,49087.416077910646,190,20,162,0,37,36.0,8.0,39.0,40.0,38.0,103.0,100.0,58.0,27.0
region_28,295511,5645.12303853,42196.62599068593,43880.94307631483,83,5,179,2,27,7.0,2.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0
region_29,292821,3998.229471045,40826.40342396384,42864.63498607209,130,8,152,2,24,13.0,4.0,37.0,37.0,14.0,96.0,96.0,44.0,16.0
region_30,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,37.0,9.0,20.0,20.0,45.0,47.0,46.0,31.0,18.0
region_31,311176,1451.9225471349998,46882.56119251481,49424.95126548196,165,6,215,0,41,23.0,5.0,28.0,29.0,28.0,23.0,23.0,16.0,18.0
region_32,368045,4153.030040835,41979.762597629495,43762.43536868884,153,6,179,3,47,21.0,5.0,21.0,23.0,22.0,50.0,48.0,22.0,12.0
region_33,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,73.0,11.0,103.0,116.0,119.0,235.0,210.0,69.0,31.0
region_34,365599,280.24859694500003,37134.16,37863.28,347,23,168,10,49,38.0,14.0,1.0,1.0,46.0,12.0,9.0,4.0,1.0
region_35,412758,262.50533,33646.83741609315,34253.270249104906,259,22,169,1,94,44.0,10.0,36.0,36.0,54.0,53.0,53.0,32.0,22.0
region_36,298560,3726.884651725,43442.39132891304,45766.530521730456,175,11,189,1,31,13.0,9.0,23.0,23.0,14.0,46.0,46.0,31.0,16.0
region_37,295037,1090.40687887,46262.35922042,47460.746174243046,113,5,160,2,29,15.0,4.0,3.0,3.0,20.0,4.0,4.0,4.0,3.0
region_38,295780,3744.74960892,38182.69732236048,40109.38377772224,123,13,166,3,32,19.0,6.0,36.0,44.0,22.0,131.0,116.0,41.0,15.0
region_39,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,42.0,8.0,39.0,42.0,54.0,71.0,68.0,43.0,18.0
region_40,387506,3023.372880265,45851.67803935721,47918.66791641751,365,10,298,0,123,22.0,9.0,26.0,26.0,24.0,59.0,59.0,52.0,21.0
region_41,376861,181.278347825,39007.52861156623,39888.70805993954,252,18,143,1,43,70.0,9.0,11.0,11.0,89.0,11.0,11.0,8.0,11.0
region_42,440131,3287.587080525,43000.8336181825,44831.05120063922,190,3,268,4,42,6.0,3.0,11.0,12.0,6.0,54.0,48.0,31.0,9.0
region_43,509797,475.28226476,38646.49331816121,41100.84413713749,351,20,244,1,64,39.0,13.0,2.0,2.0,45.0,2.0,2.0,2.0,2.0
region_44,425191,5807.495301645,44180.16732596442,45346.0694925717,257,22,272,3,66,28.0,6.0,11.0,11.0,33.0,17.0,17.0,15.0,9.0
region_45,461421,8601.349281820001,38480.416663499054,40959.73747486567,296,19,245,0,71,67.0,15.0,40.0,40.0,91.0,75.0,75.0,53.0,24.0
region_46,330868,216.65785405,44450.70293282685,48142.47639736822,270,8,150,0,36,20.0,4.0,21.0,28.0,21.0,21.0,21.0,13.0,7.0
region_47,347254,1477.39580163,41346.68566712529,43696.651111569045,476,23,327,2,113,102.0,20.0,48.0,50.0,137.0,63.0,56.0,37.0,30.0
region_48,416240,1932.93465586,44722.7992076565,46614.602815765335,292,12,308,6,90,37.0,10.0,27.0,29.0,46.0,69.0,69.0,53.0,15.0
