hcp,population,area,pci16,pci18,Internal medicine,Internal medicine / pneumology,General practicioner,Internal medicine and general practicioner,Pediatrician,hcp,tier,region,specialty
83,366237,456.77740419,47846.72921976725,49044.24224184746,265,10,259,1,40,83,2,region_59,Internal medicine
112,385727,1076.159285885,40191.9802962238,41539.86683477547,242,16,161,3,41,112,1,region_103,Internal medicine
307,419101,7692.893495175,36767.22147044455,38579.41511491576,250,11,225,0,32,307,2,region_33,Internal medicine / pneumology
387,338417,3708.777236195,38747.41077767074,41145.64904023545,259,18,161,1,55,387,2,region_97,Internal medicine / pneumology
426,311316,4469.15820453,41460.329717448665,43261.443759558446,174,4,230,7,44,426,1,region_118,General practicioner
534,335310,579.9516389300001,46598.18860894914,50643.31335412155,214,21,215,1,43,534,1,region_147,Internal medicine
608,562766,7476.819147085001,39152.99916517007,41230.29230741945,308,9,264,2,72,608,1,region_86,Internal medicine
692,294282,2862.656662375,42983.715631831335,45145.98131152131,176,7,155,14,39,692,2,region_138,Internal medicine
703,376219,5876.13657913,36993.40237936698,39335.135584445765,235,6,230,0,72,703,2,region_57,General practicioner
739,323802,3616.56527596,46597.28706520958,48817.61695765182,127,2,207,1,18,739,3,region_112,General practicioner
748,311176,1451.9225471349998,46882.56119251481,49424.95126548196,165,6,215,0,41,748,2,region_31,General practicioner
769,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,769,2,region_49,General practicioner
815,302082,1519.44778533,48695.51342317437,52545.89229382636,134,6,156,1,44,815,2,region_136,Internal medicine
820,335568,2855.78699663,46290.70308762525,48920.28136064841,173,8,206,1,38,820,3,region_72,General practicioner
832,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,832,2,region_52,Internal medicine
856,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,856,2,region_71,Internal medicine
1078,389939,734.360995965,38701.53589836237,39721.16825216833,231,9,146,5,75,1078,1,region_92,Internal medicine
1319,329314,438.710268375,37588.12322272532,39815.26132463675,422,17,188,1,126,1319,2,region_163,Internal medicine / pneumology
1389,520595,298.050938975,42351.68,43907.92,574,38,370,6,167,1389,2,region_78,Internal medicine
1438,300469,2849.552513615,41149.039535878575,42838.21028554375,146,6,186,0,22,1438,2,region_64,Internal medicine
1449,485523,1064.39973606,45420.92701120138,46427.26521994213,306,12,251,3,86,1449,1,region_75,Internal medicine
1464,320450,119.34311882000002,47853.29181840482,49044.01277342743,285,30,198,6,33,1464,1,region_63,Internal medicine / pneumology
1492,557796,5358.519268005,42148.23768011034,44225.43003055763,369,18,293,3,70,1492,1,region_115,Internal medicine / pneumology
1500,365599,280.24859694500003,37134.16,37863.28,347,23,168,10,49,1500,1,region_34,Internal medicine / pneumology
1519,496826,6434.083117925,44149.02978881942,46695.11700369592,316,11,300,1,65,1519,2,region_49,General practicioner
1521,307965,173.468130305,38649.24,41105.12,169,21,131,0,44,1521,2,region_9,Pediatrician
1551,330895,1185.616592415,58016.33152284889,63253.82473784784,236,26,264,0,69,1551,3,region_134,General practicioner
1608,374756,6500.06813062,43452.29738863786,45337.58089492952,182,8,228,12,25,1608,2,region_198,General practicioner
1629,445328,10659.052143505,37304.95165223997,39504.6071492316,302,11,223,2,56,1629,2,region_30,Internal medicine
1634,299274,1390.91898579,45579.18946596061,48213.45323919848,142,4,163,1,29,1634,2,region_156,General practicioner
1753,382877,402.354224945,38901.654186582455,39573.72335237399,458,25,166,3,95,1753,1,region_105,Internal medicine / pneumology
1994,401064,6216.07241229,41073.71651472008,42863.373102084304,292,15,233,0,25,1994,1,region_145,Internal medicine
2223,295037,1090.40687887,46262.35922042,47460.746174243046,113,5,160,2,29,2223,2,region_37,Internal medicine
2272,380244,1893.864008995,42224.88323186671,44597.342131836034,447,31,307,1,106,2272,2,region_52,Internal medicine
2302,354406,1457.7577504699998,45113.68108180971,46098.726288886704,196,7,162,0,57,2302,1,region_124,Internal medicine / pneumology
2368,449898,4019.658772,36647.69507398299,38070.54561557521,317,17,279,0,103,2368,2,region_39,General practicioner
2382,304452,932.781191195,36395.04423057791,38590.38510757204,292,14,190,3,137,2382,2,region_83,General practicioner
2428,460276,9206.65557772,39050.252471103886,41542.62919406537,361,19,256,2,111,2428,2,region_121,General practicioner
2503,369052,3275.78259817,42065.28551441394,43984.385596682885,223,22,262,0,51,2503,2,region_182,General practicioner
2506,368045,4153.030040835,41979.762597629495,43762.43536868884,153,6,179,3,47,2506,1,region_32,Internal medicine / pneumology
2902,320450,119.34311882000002,47853.29181840482,49044.01277342743,285,30,198,6,33,2902,1,region_63,Internal medicine
2965,423341,154.47548644,38652.12994183328,41107.59671458673,340,15,243,3,71,2965,1,region_154,Internal medicine
3101,324074,2196.24323518,56253.7171850507,60786.66378406008,128,3,218,2,30,3101,3,region_166,General practicioner
3143,392442,1013.9402787699998,43137.67692133163,45189.593294747385,224,22,230,0,83,3143,1,region_23,Internal medicine / pneumology
3176,332866,165.88248338,48733.12857084881,51093.07993379515,431,18,193,2,130,3176,2,region_164,Internal medicine
3215,369052,3275.78259817,42065.28551441394,43984.385596682885,223,22,262,0,51,3215,1,region_182,Internal medicine / pneumology
3261,341233,487.59933681,37386.11459218471,38418.87174140778,165,8,173,3,31,3261,2,region_22,Internal medicine
3642,379268,1300.084429985,51331.47202909552,54701.5147903046,217,13,195,1,58,3642,1,region_70,Internal medicine / pneumology
3835,347761,1339.813459055,47802.37814017809,49087.416077910646,190,20,162,0,37,3835,1,region_27,Internal medicine / pneumology
3942,395114,2598.725435955,44282.29255670319,46215.14059095081,269,4,239,25,57,3942,2,region_200,General practicioner
3998,304452,932.781191195,36395.04423057791,38590.38510757204,292,14,190,3,137,3998,2,region_83,Internal medicine
4025,536929,3415.12600619,41281.75861507195,41579.09363912522,444,16,303,6,133,4025,2,region_150,General practicioner
4026,562766,7476.819147085001,39152.99916517007,41230.29230741945,308,9,264,2,72,4026,2,region_86,Internal medicine
4050,344825,4037.238894875,41651.15403583042,43493.05408766624,177,7,181,3,37,4050,2,region_25,Internal medicine
4073,324074,2196.24323518,56253.7171850507,60786.66378406008,128,3,218,2,30,4073,3,region_166,General practicioner
4101,290274,230.311262695,38727.460773319886,39733.89795811521,282,14,135,6,42,4101,2,region_71,General practicioner
4134,528626,19013.448093125,40270.8691500684,42128.622570789055,328,20,308,2,71,4134,3,region_131,Internal medicine
4141,300515,2586.372330025,45012.22731070037,45991.45903393168,151,10,165,4,30,4141,2,region_113,General practicioner
