region,population,area,pci16,pci18
region_0,381958,1372.440545005,38799.97238081176,40214.89576209413
region_1,431383,4701.726213315,45377.70804101765,47137.854236937215
region_2,318026,2574.94384874,42578.018793468305,44456.38959522513
region_3,343861,3639.37347845,46856.49217012814,48564.22884077264
region_4,330916,3926.381089415,44462.42167904268,46388.54507009739
region_5,286989,1398.2630271,46225.63421035833,47728.70389846647
region_6,309483,136.71853883,38649.24,41105.12
region_7,407943,451.9983656349999,38641.223886872715,41094.34746902544
region_8,342104,85.250473665,38649.24,41105.12
region_9,307965,173.468130305,38649.24,41105.12
region_10,471991,2823.6310998500003,48600.882121345676,50488.57174709858
region_11,347004,2309.84630162,48882.45762105983,52941.608186896214
region_12,303208,4751.57647807,43523.60071389123,45486.24426880677
region_13,455048,6138.053380519999,45493.38136373606,47721.6925757523
region_14,378215,2413.69235525,44553.2197051116,46376.734929766484
region_15,331359,2954.033908245,43899.286950612506,45120.71452461968
region_16,400723,2105.438750675,43428.46785897859,44575.5590026938
region_17,461318,3554.8038096499995,46190.16084339184,48307.15154935936
region_18,316807,3603.3811201000003,41629.98865230625,42975.82194855097
region_19,459522,64.130789205,38649.24,41105.12
region_20,324990,681.550024385,45163.973492282974,46181.14470036704
region_21,297082,360.80529598,44784.45632909552,45981.72217118941
region_22,341233,487.59933680999995,37386.11459218471,38418.87174140778
region_23,392442,1013.9402787699998,43137.67692133163,45189.593294747385
region_24,541116,5200.616483475,42154.98186708018,43863.59104463951
region_25,344825,4037.2388948750004,41651.15403583042,43493.054087666234
region_26,338885,1762.4693887249998,45571.692847022576,46663.394874316575
region_27,347761,1339.813459055,47802.37814017809,49087.416077910646
region_28,295511,5645.12303853,42196.62599068593,43880.94307631483
region_29,292821,3998.229471045,40826.403423963835,42864.63498607209
region_30,445328,10659.052143505,37304.95165223997,39504.607149231604
region_31,311176,1451.9225471349998,46882.56119251481,49424.951265481955
region_32,368045,4153.030040835,41979.762597629495,43762.43536868884
region_33,419101,7692.893495175,36767.22147044455,38579.415114915755
region_34,365599,280.24859694500003,37134.159999999996,37863.28
region_35,412758,262.50533,33646.83741609315,34253.270249104906
region_36,298560,3726.884651725,43442.39132891304,45766.530521730456
region_37,295037,1090.40687887,46262.35922042,47460.746174243046
region_38,295780,3744.74960892,38182.69732236048,40109.38377772224
region_39,449898,4019.658772,36647.69507398299,38070.54561557521
region_40,387506,3023.372880265,45851.67803935721,47918.66791641751
region_41,376861,181.278347825,39007.52861156623,39888.70805993954
region_42,440131,3287.587080525,43000.8336181825,44831.05120063922
region_43,509797,475.28226476,38646.49331816121,41100.84413713749
region_44,425191,5807.495301645,44180.16732596442,45346.0694925717
region_45,461421,8601.349281820001,38480.416663499054,40959.737474865666
region_46,330868,216.65785405,44450.70293282685,48142.47639736822
region_47,347254,1477.39580163,41346.68566712529,43696.651111569045
region_48,416240,1932.93465586,44722.7992076565,46614.602815765335
region_49,496826,6434.083117925,44149.02978881942,46695.117003695916
region_50,356216,1561.571631685,41130.99782144328,42849.66447641903
region_51,325691,4155.27444025,37425.22727866324,39046.73439375503
region_52,380244,1893.8640089950002,42224.883231866705,44597.342131836034
region_53,346466,1716.0610216599998,47436.18452205252,48289.027765684055
region_54,516859,7269.26011098,36031.93428078067,38376.51658116495
region_55,300921,2966.3962471299997,40594.80342422845,42488.72987225042
region_56,314292,1299.8107456250002,39922.83005317213,41651.31966320547
region_57,376219,5876.13657913,36993.40237936698,39335.135584445765
region_58,295192,1994.75115814,45774.88396917456,48219.296065151655
region_59,366237,456.77740419,47846.72921976725,49044.24224184746
region_60,336953,277.67347298500005,47883.30564409603,49078.800882085445
region_61,481340,433.493165915,47807.095737135656,48998.648530738246
region_62,470772,1997.6390139299997,45921.003861056335,47021.37710281745
region_63,320450,119.34311882000002,47853.29181840482,49044.01277342743
region_64,300469,2849.552513615,41149.039535878575,42838.21028554375
region_65,316970,812.02523969,39271.080366231094,40522.879483978526
region_66,327674,499.70631512500006,43544.32603542337,46907.49509458998
region_67,294808,653.61051631,41189.10186526831,42903.32734412834
region_68,397520,602.376419425,39424.04499582988,40424.84519009168
region_69,393228,897.21918997,47250.45828230358,49137.60230692609
region_70,379268,1300.084429985,51331.472029095516,54701.5147903046
region_71,290274,230.311262695,38727.460773319886,39733.89795811521
region_72,335568,2855.78699663,46290.70308762525,48920.28136064841
region_73,370427,4000.316021975,37145.88024469353,39115.313176734395
region_74,308168,3160.0420469299997,41187.7235264384,42671.80736288608
region_75,485523,1064.3997360600001,45420.927011201384,46427.26521994213
region_76,346962,3955.87103625,46117.32468167189,47687.7855694166
region_77,297909,1795.04534539,38958.80276287088,40349.164507190086
region_78,520595,298.050938975,42351.68,43907.92
region_79,309066,1766.12951329,47704.58758235771,51167.22010202415
region_80,332380,507.6016706,42316.17861056367,43408.66203256296
region_81,299023,2730.297744985,45032.26508563141,46906.03781300078
region_82,323713,3780.938178465,45305.47325376525,47016.396650179406
region_83,304452,932.781191195,36395.04423057791,38590.38510757204
region_84,382514,461.416189685,42923.89472462531,44483.883987279456
region_85,312237,3709.821889255,44729.66272909751,46604.18155477684
region_86,562766,7476.819147085001,39152.99916517007,41230.29230741945
region_87,401234,708.64855028,49064.5291070617,50956.80307195887
region_88,542689,2487.34197222,44408.95747705361,46253.941480138834
region_89,355758,1820.593057845,43284.714982491285,44623.83197198605
region_90,447074,2817.953165215,46686.223972057545,47929.49398845733
region_91,377517,5009.8313105649995,42745.559318786756,44445.65818379169
region_92,389939,734.360995965,38701.53589836237,39721.16825216833
region_93,323575,111.643540105,58259.42127116629,63608.28150583796
region_94,545012,10892.01787511,36585.0100716675,38183.44995556125
region_95,292659,252.698993475,41727.483461086485,44501.22628430059
region_96,321059,484.212641435,36407.895986325166,38638.417649083574
region_97,338417,3708.777236195,38747.41077767074,41145.64904023545
region_98,487393,5189.376597045,46048.81926990849,47755.55739365009
region_99,286939,914.5563926199999,43716.546012520776,44944.29185447118
region_100,283879,1942.08355011,40082.98302330007,39900.71505628525
region_101,325956,1704.9262200499998,47763.05984217822,49225.161981814585
region_102,484396,771.9334331700001,41064.42127819379,41593.11849693459
region_103,385727,1076.159285885,40191.980296223795,41539.86683477547
region_104,421215,6568.02313485,36805.53716197213,38484.9273729109
region_105,382877,402.354224945,38901.654186582455,39573.723352373985
region_106,305578,216.595038625,58232.4125248942,63571.47138931149
region_107,357267,1098.62296527,44920.72221786424,46360.19706742704
region_108,465881,532.19959025,43364.96745908977,46659.57821612824
region_109,501854,12985.93712956,35181.19328397373,37177.95969312522
region_110,421762,909.36976198,38645.153619141834,41101.34795613093
region_111,438812,3146.3784008,44722.13582179362,46805.33051359303
region_112,323802,3616.5652759600002,46597.28706520958,48817.61695765182
region_113,300515,2586.372330025,45012.227310700364,45991.45903393168
region_114,308241,156.10671718999998,42698.6,44586.08
region_115,557796,5358.5192680049995,42148.23768011034,44225.43003055763
region_116,447190,1992.02559693,41782.23299439513,43361.63633421085
region_117,291799,674.3729127050001,43691.516939022775,45418.820960237834
region_118,311316,4469.15820453,41460.329717448665,43261.443759558446
region_119,329601,1475.592368275,47762.70492140293,49450.83335672065
region_120,295104,1515.2463563699998,37587.76570942719,39899.804520287806
region_121,460276,9206.65557772,39050.252471103886,41542.62919406537
region_122,335968,416.60864130500005,38027.829846001594,39058.46124932333
region_123,479149,4959.219208320001,44052.47967412043,46484.08356658933
region_124,354406,1457.7577504699998,45113.68108180971,46098.726288886704
region_125,366121,2397.403402265,46257.25233215537,47946.30648425155
region_126,320570,801.38097818,41114.92,42843.64
region_127,547068,6396.314308025,48518.205716833865,51052.264521926285
region_128,301446,888.335822715,39077.1099989826,38103.09110635517
region_129,290982,433.42087367,45046.7489711906,47004.237201665805
region_130,333102,3186.47850519,43023.98283073583,44434.53943890139
region_131,528626,19013.448093125,40270.8691500684,42128.622570789055
region_132,536856,6023.14589796,46261.88849114344,47134.190586206154
region_133,301745,1700.8901509399998,47293.516396584026,49851.954655522895
region_134,330895,1185.616592415,58016.33152284889,63253.82473784784
region_135,368750,262.76532562,48463.432731680135,49909.6820689358
region_136,302082,1519.44778533,48695.51342317437,52545.89229382636
region_137,348086,4164.570398015,46186.5592866436,47424.04679007741
region_138,294282,2862.656662375,42983.715631831335,45145.98131152131
region_139,297406,1285.352745595,47256.37179516038,49370.94623147627
region_140,375634,1951.91731418,48731.59459969861,48347.02730080437
region_141,299581,224.197318435,58135.35625783255,63453.55722668387
region_142,543989,730.58755008,47906.89504039801,49401.83082252559
region_143,314806,2534.158220455,47367.52382688499,49336.47839500663
region_144,299283,3885.5791641650003,40927.1648458997,42670.96205636806
region_145,401064,6216.07241229,41073.71651472008,42863.373102084304
