,hcp,specialty,region,brand,email_type,content_id,no. openings,no. clicks,time_sent,time_last_opened,time_last_clicked
1,819,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 11:58:00,,
2,819,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:47:00,2020-08-17 23:16:00,
6,4005,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:15:00,,
7,4005,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 14:59:00,2020-08-17 15:58:00,
11,10003,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 16:05:00,2020-07-17 07:08:00,
12,10003,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 15:47:00,,
13,11885,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 16:03:00,,
14,11885,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:45:00,2020-08-17 18:27:00,
15,13228,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 15:46:00,,
16,13228,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,1,0,2020-08-17 15:36:00,2020-08-17 17:02:00,
18,14388,Internal medicine and general practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-16 11:46:00,,
19,14388,Internal medicine and general practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:37:00,,
20,15154,Internal medicine,region_1,brand_2,product_related,a3D6f0000019gA2EAI,1,0,2020-07-16 15:50:00,2020-07-16 18:42:00,
21,15154,Internal medicine,region_1,brand_2,general,a3D6f0000019jSnEAI,2,0,2020-08-17 15:38:00,2020-08-17 18:30:00,
24,16100,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,0,0,2020-07-15 19:10:00,,
25,16100,General practicioner,region_1,brand_2,general,a3D6f0000019jSnEAI,0,0,2020-08-17 14:34:00,,
26,16135,General practicioner,region_1,brand_2,product_related,a3D6f0000019gA2EAI,3,0,2020-07-16 16:23:00,2020-07-16 21:29:00,
