month,region,brand,sales
2020-01,region_0,brand_1,0.0
2020-01,region_0,brand_2,0.0
2020-01,region_0,brand_3,65007.49
2020-01,region_0,brand_12_market,509023.69
2020-01,region_0,brand_3_market,940469.05
2020-01,region_1,brand_1,0.0
2020-01,region_1,brand_2,0.0
2020-01,region_1,brand_3,45929.88
2020-01,region_1,brand_12_market,344182.42
2020-01,region_1,brand_3_market,625300.1
2020-01,region_2,brand_1,0.0
2020-01,region_2,brand_2,0.0
2020-01,region_2,brand_3,49600.98
2020-01,region_2,brand_12_market,232335.01
2020-01,region_2,brand_3_market,499457.13
2020-01,region_3,brand_1,0.0
2020-01,region_3,brand_2,0.0
2020-01,region_3,brand_3,28624.41
2020-01,region_3,brand_12_market,233121.0
2020-01,region_3,brand_3_market,413104.96
2020-01,region_4,brand_1,0.0
2020-01,region_4,brand_2,0.0
2020-01,region_4,brand_3,43625.7
2020-01,region_4,brand_12_market,275719.49
2020-01,region_4,brand_3_market,577482.54
2020-01,region_5,brand_1,0.0
2020-01,region_5,brand_2,0.0
2020-01,region_5,brand_3,27603.24
2020-01,region_5,brand_12_market,191306.52
2020-01,region_5,brand_3_market,394091.82
2020-01,region_6,brand_1,0.0
2020-01,region_6,brand_2,0.0
2020-01,region_6,brand_3,42107.68
2020-01,region_6,brand_12_market,140072.67
2020-01,region_6,brand_3_market,300949.76
2020-01,region_7,brand_1,0.0
2020-01,region_7,brand_2,0.0
2020-01,region_7,brand_3,96017.95
2020-01,region_7,brand_12_market,447757.84
2020-01,region_7,brand_3_market,875486.96
2020-01,region_8,brand_1,0.0
2020-01,region_8,brand_2,0.0
2020-01,region_8,brand_3,37327.58
2020-01,region_8,brand_12_market,233835.41
2020-01,region_8,brand_3_market,495127.91
2020-01,region_9,brand_1,0.0
2020-01,region_9,brand_2,0.0
2020-01,region_9,brand_3,47763.26
2020-01,region_9,brand_12_market,202923.31
2020-01,region_9,brand_3_market,428330.28
2020-01,region_10,brand_1,0.0
2020-01,region_10,brand_2,0.0
2020-01,region_10,brand_3,34880.09
2020-01,region_10,brand_12_market,269164.92
2020-01,region_10,brand_3_market,501835.67
2020-01,region_11,brand_1,0.0
2020-01,region_11,brand_2,0.0
2020-01,region_11,brand_3,25263.88
2020-01,region_11,brand_12_market,224599.11
2020-01,region_11,brand_3_market,403031.73
2020-01,region_12,brand_1,0.0
2020-01,region_12,brand_2,0.0
2020-01,region_12,brand_3,30010.55
2020-01,region_12,brand_12_market,247825.05
2020-01,region_12,brand_3_market,429934.54
2020-01,region_13,brand_1,0.0
2020-01,region_13,brand_2,0.0
2020-01,region_13,brand_3,35331.83
2020-01,region_13,brand_12_market,395261.06
2020-01,region_13,brand_3_market,653151.29
2020-01,region_14,brand_1,0.0
2020-01,region_14,brand_2,0.0
2020-01,region_14,brand_3,39609.39
2020-01,region_14,brand_12_market,308436.43
2020-01,region_14,brand_3_market,618997.4
2020-01,region_15,brand_1,0.0
2020-01,region_15,brand_2,0.0
2020-01,region_15,brand_3,53314.96
2020-01,region_15,brand_12_market,304489.16
2020-01,region_15,brand_3_market,607917.92
2020-01,region_16,brand_1,0.0
2020-01,region_16,brand_2,0.0
2020-01,region_16,brand_3,51286.23
2020-01,region_16,brand_12_market,353032.09
2020-01,region_16,brand_3_market,644219.6
2020-01,region_17,brand_1,0.0
2020-01,region_17,brand_2,0.0
2020-01,region_17,brand_3,36769.51
2020-01,region_17,brand_12_market,354300.53
2020-01,region_17,brand_3_market,578429.89
2020-01,region_18,brand_1,0.0
2020-01,region_18,brand_2,0.0
2020-01,region_18,brand_3,44241.88
2020-01,region_18,brand_12_market,253602.24
2020-01,region_18,brand_3_market,526922.34
2020-01,region_19,brand_1,0.0
2020-01,region_19,brand_2,0.0
2020-01,region_19,brand_3,101618.17
2020-01,region_19,brand_12_market,621882.8
2020-01,region_19,brand_3_market,1191098.24
2020-01,region_20,brand_1,0.0
2020-01,region_20,brand_2,0.0
2020-01,region_20,brand_3,60840.98
2020-01,region_20,brand_12_market,299265.31
2020-01,region_20,brand_3_market,554994.88
2020-01,region_21,brand_1,0.0
2020-01,region_21,brand_2,0.0
2020-01,region_21,brand_3,33702.22
2020-01,region_21,brand_12_market,300205.02
2020-01,region_21,brand_3_market,550530.07
2020-01,region_22,brand_1,0.0
2020-01,region_22,brand_2,0.0
2020-01,region_22,brand_3,51587.53
2020-01,region_22,brand_12_market,319363.41
2020-01,region_22,brand_3_market,671200.21
2020-01,region_23,brand_1,0.0
2020-01,region_23,brand_2,0.0
2020-01,region_23,brand_3,43025.29
2020-01,region_23,brand_12_market,452315.7
2020-01,region_23,brand_3_market,839070.14
2020-01,region_24,brand_1,0.0
2020-01,region_24,brand_2,0.0
2020-01,region_24,brand_3,43582.72
2020-01,region_24,brand_12_market,424447.1
2020-01,region_24,brand_3_market,876681.79
2020-01,region_25,brand_1,0.0
2020-01,region_25,brand_2,0.0
2020-01,region_25,brand_3,41485.98
2020-01,region_25,brand_12_market,279586.65
2020-01,region_25,brand_3_market,597201.15
2020-01,region_26,brand_1,0.0
2020-01,region_26,brand_2,0.0
2020-01,region_26,brand_3,17722.18
2020-01,region_26,brand_12_market,215068.91
2020-01,region_26,brand_3_market,368572.15
2020-01,region_27,brand_1,0.0
2020-01,region_27,brand_2,0.0
2020-01,region_27,brand_3,27135.98
2020-01,region_27,brand_12_market,270294.47
2020-01,region_27,brand_3_market,534495.04
2020-01,region_28,brand_1,0.0
2020-01,region_28,brand_2,0.0
2020-01,region_28,brand_3,28198.78
2020-01,region_28,brand_12_market,220506.1
2020-01,region_28,brand_3_market,460907.47
2020-01,region_29,brand_1,0.0
2020-01,region_29,brand_2,0.0
2020-01,region_29,brand_3,30056.3
2020-01,region_29,brand_12_market,222470.81
2020-01,region_29,brand_3_market,450863.14
2020-01,region_30,brand_1,0.0
2020-01,region_30,brand_2,0.0
2020-01,region_30,brand_3,61368.75
2020-01,region_30,brand_12_market,286562.52
2020-01,region_30,brand_3_market,600428.22
2020-01,region_31,brand_1,0.0
2020-01,region_31,brand_2,0.0
2020-01,region_31,brand_3,23368.67
2020-01,region_31,brand_12_market,208549.07
2020-01,region_31,brand_3_market,432516.0
2020-01,region_32,brand_1,0.0
2020-01,region_32,brand_2,0.0
2020-01,region_32,brand_3,77954.32
2020-01,region_32,brand_12_market,290688.97
2020-01,region_32,brand_3_market,589180.24
2020-01,region_33,brand_1,0.0
2020-01,region_33,brand_2,0.0
2020-01,region_33,brand_3,96570.59
2020-01,region_33,brand_12_market,383101.07
2020-01,region_33,brand_3_market,792749.43
2020-01,region_34,brand_1,0.0
2020-01,region_34,brand_2,0.0
2020-01,region_34,brand_3,37382.86
2020-01,region_34,brand_12_market,421035.17
2020-01,region_34,brand_3_market,728318.86
2020-01,region_35,brand_1,0.0
2020-01,region_35,brand_2,0.0
2020-01,region_35,brand_3,75350.45
2020-01,region_35,brand_12_market,374193.42
2020-01,region_35,brand_3_market,807277.07
2020-01,region_36,brand_1,0.0
2020-01,region_36,brand_2,0.0
2020-01,region_36,brand_3,36275.25
2020-01,region_36,brand_12_market,234630.33
2020-01,region_36,brand_3_market,427449.66
2020-01,region_37,brand_1,0.0
2020-01,region_37,brand_2,0.0
2020-01,region_37,brand_3,20860.29
2020-01,region_37,brand_12_market,228424.34
2020-01,region_37,brand_3_market,427757.93
2020-01,region_38,brand_1,0.0
2020-01,region_38,brand_2,0.0
2020-01,region_38,brand_3,53920.25
2020-01,region_38,brand_12_market,293622.32
2020-01,region_38,brand_3_market,586447.3
2020-01,region_39,brand_1,0.0
2020-01,region_39,brand_2,0.0
2020-01,region_39,brand_3,70406.51
2020-01,region_39,brand_12_market,363795.1
2020-01,region_39,brand_3_market,779493.77
2020-01,region_40,brand_1,0.0
2020-01,region_40,brand_2,0.0
2020-01,region_40,brand_3,48359.57
2020-01,region_40,brand_12_market,304113.6
2020-01,region_40,brand_3_market,560497.19
2020-01,region_41,brand_1,0.0
2020-01,region_41,brand_2,0.0
2020-01,region_41,brand_3,50500.47
2020-01,region_41,brand_12_market,363077.68
2020-01,region_41,brand_3_market,721928.92
2020-01,region_42,brand_1,0.0
2020-01,region_42,brand_2,0.0
2020-01,region_42,brand_3,45914.09
2020-01,region_42,brand_12_market,300179.64
2020-01,region_42,brand_3_market,608474.24
2020-01,region_43,brand_1,0.0
2020-01,region_43,brand_2,0.0
2020-01,region_43,brand_3,77901.77
2020-01,region_43,brand_12_market,385815.14
2020-01,region_43,brand_3_market,871211.44
