,month,region,brand,sales
0,2020-01,region_0,brand_1,0.0
1,2020-01,region_0,brand_2,0.0
2,2020-01,region_0,brand_3,65007.49
3,2020-01,region_0,brand_12_market,509023.69
4,2020-01,region_0,brand_3_market,940469.05
5,2020-01,region_1,brand_1,0.0
6,2020-01,region_1,brand_2,0.0
7,2020-01,region_1,brand_3,45929.88
8,2020-01,region_1,brand_12_market,344182.42
9,2020-01,region_1,brand_3_market,625300.1
10,2020-01,region_2,brand_1,0.0
11,2020-01,region_2,brand_2,0.0
12,2020-01,region_2,brand_3,49600.98
13,2020-01,region_2,brand_12_market,232335.01
14,2020-01,region_2,brand_3_market,499457.13
15,2020-01,region_3,brand_1,0.0
16,2020-01,region_3,brand_2,0.0
17,2020-01,region_3,brand_3,28624.41
18,2020-01,region_3,brand_12_market,233121.0
19,2020-01,region_3,brand_3_market,413104.96
20,2020-01,region_4,brand_1,0.0
21,2020-01,region_4,brand_2,0.0
22,2020-01,region_4,brand_3,43625.7
23,2020-01,region_4,brand_12_market,275719.49
24,2020-01,region_4,brand_3_market,577482.54
25,2020-01,region_5,brand_1,0.0
26,2020-01,region_5,brand_2,0.0
27,2020-01,region_5,brand_3,27603.24
28,2020-01,region_5,brand_12_market,191306.52
29,2020-01,region_5,brand_3_market,394091.82
30,2020-01,region_6,brand_1,0.0
31,2020-01,region_6,brand_2,0.0
32,2020-01,region_6,brand_3,42107.68
33,2020-01,region_6,brand_12_market,140072.67
34,2020-01,region_6,brand_3_market,300949.76
35,2020-01,region_7,brand_1,0.0
36,2020-01,region_7,brand_2,0.0
37,2020-01,region_7,brand_3,96017.95
38,2020-01,region_7,brand_12_market,447757.84
39,2020-01,region_7,brand_3_market,875486.96
40,2020-01,region_8,brand_1,0.0
41,2020-01,region_8,brand_2,0.0
42,2020-01,region_8,brand_3,37327.58
43,2020-01,region_8,brand_12_market,233835.41
44,2020-01,region_8,brand_3_market,495127.91
45,2020-01,region_9,brand_1,0.0
46,2020-01,region_9,brand_2,0.0
47,2020-01,region_9,brand_3,47763.26
48,2020-01,region_9,brand_12_market,202923.31
49,2020-01,region_9,brand_3_market,428330.28
50,2020-01,region_10,brand_1,0.0
51,2020-01,region_10,brand_2,0.0
52,2020-01,region_10,brand_3,34880.09
53,2020-01,region_10,brand_12_market,269164.92
54,2020-01,region_10,brand_3_market,501835.67
55,2020-01,region_11,brand_1,0.0
56,2020-01,region_11,brand_2,0.0
57,2020-01,region_11,brand_3,25263.88
58,2020-01,region_11,brand_12_market,224599.11
59,2020-01,region_11,brand_3_market,403031.73
60,2020-01,region_12,brand_1,0.0
61,2020-01,region_12,brand_2,0.0
62,2020-01,region_12,brand_3,30010.55
63,2020-01,region_12,brand_12_market,247825.05
64,2020-01,region_12,brand_3_market,429934.54
65,2020-01,region_13,brand_1,0.0
66,2020-01,region_13,brand_2,0.0
67,2020-01,region_13,brand_3,35331.83
68,2020-01,region_13,brand_12_market,395261.06
69,2020-01,region_13,brand_3_market,653151.29
70,2020-01,region_14,brand_1,0.0
71,2020-01,region_14,brand_2,0.0
72,2020-01,region_14,brand_3,39609.39
73,2020-01,region_14,brand_12_market,308436.43
74,2020-01,region_14,brand_3_market,618997.4
75,2020-01,region_15,brand_1,0.0
76,2020-01,region_15,brand_2,0.0
77,2020-01,region_15,brand_3,53314.96
78,2020-01,region_15,brand_12_market,304489.16
79,2020-01,region_15,brand_3_market,607917.92
80,2020-01,region_16,brand_1,0.0
81,2020-01,region_16,brand_2,0.0
82,2020-01,region_16,brand_3,51286.23
83,2020-01,region_16,brand_12_market,353032.09
84,2020-01,region_16,brand_3_market,644219.6
85,2020-01,region_17,brand_1,0.0
86,2020-01,region_17,brand_2,0.0
87,2020-01,region_17,brand_3,36769.51
88,2020-01,region_17,brand_12_market,354300.53
89,2020-01,region_17,brand_3_market,578429.89
90,2020-01,region_18,brand_1,0.0
91,2020-01,region_18,brand_2,0.0
92,2020-01,region_18,brand_3,44241.88
93,2020-01,region_18,brand_12_market,253602.24
94,2020-01,region_18,brand_3_market,526922.34
95,2020-01,region_19,brand_1,0.0
96,2020-01,region_19,brand_2,0.0
97,2020-01,region_19,brand_3,101618.17
98,2020-01,region_19,brand_12_market,621882.8
99,2020-01,region_19,brand_3_market,1191098.24
100,2020-01,region_20,brand_1,0.0
101,2020-01,region_20,brand_2,0.0
102,2020-01,region_20,brand_3,60840.98
103,2020-01,region_20,brand_12_market,299265.31
104,2020-01,region_20,brand_3_market,554994.88
105,2020-01,region_21,brand_1,0.0
106,2020-01,region_21,brand_2,0.0
107,2020-01,region_21,brand_3,33702.22
108,2020-01,region_21,brand_12_market,300205.02
109,2020-01,region_21,brand_3_market,550530.07
110,2020-01,region_22,brand_1,0.0
111,2020-01,region_22,brand_2,0.0
112,2020-01,region_22,brand_3,51587.53
113,2020-01,region_22,brand_12_market,319363.41
114,2020-01,region_22,brand_3_market,671200.21
115,2020-01,region_23,brand_1,0.0
116,2020-01,region_23,brand_2,0.0
117,2020-01,region_23,brand_3,43025.29
118,2020-01,region_23,brand_12_market,452315.7
119,2020-01,region_23,brand_3_market,839070.14
120,2020-01,region_24,brand_1,0.0
121,2020-01,region_24,brand_2,0.0
122,2020-01,region_24,brand_3,43582.72
123,2020-01,region_24,brand_12_market,424447.1
124,2020-01,region_24,brand_3_market,876681.79
125,2020-01,region_25,brand_1,0.0
126,2020-01,region_25,brand_2,0.0
127,2020-01,region_25,brand_3,41485.98
128,2020-01,region_25,brand_12_market,279586.65
129,2020-01,region_25,brand_3_market,597201.15
130,2020-01,region_26,brand_1,0.0
131,2020-01,region_26,brand_2,0.0
132,2020-01,region_26,brand_3,17722.18
133,2020-01,region_26,brand_12_market,215068.91
134,2020-01,region_26,brand_3_market,368572.15
135,2020-01,region_27,brand_1,0.0
136,2020-01,region_27,brand_2,0.0
137,2020-01,region_27,brand_3,27135.98
138,2020-01,region_27,brand_12_market,270294.47
139,2020-01,region_27,brand_3_market,534495.04
140,2020-01,region_28,brand_1,0.0
141,2020-01,region_28,brand_2,0.0
142,2020-01,region_28,brand_3,28198.78
143,2020-01,region_28,brand_12_market,220506.1
144,2020-01,region_28,brand_3_market,460907.47
145,2020-01,region_29,brand_1,0.0
146,2020-01,region_29,brand_2,0.0
147,2020-01,region_29,brand_3,30056.3
148,2020-01,region_29,brand_12_market,222470.81
149,2020-01,region_29,brand_3_market,450863.14
150,2020-01,region_30,brand_1,0.0
151,2020-01,region_30,brand_2,0.0
152,2020-01,region_30,brand_3,61368.75
153,2020-01,region_30,brand_12_market,286562.52
154,2020-01,region_30,brand_3_market,600428.22
155,2020-01,region_31,brand_1,0.0
156,2020-01,region_31,brand_2,0.0
157,2020-01,region_31,brand_3,23368.67
158,2020-01,region_31,brand_12_market,208549.07
159,2020-01,region_31,brand_3_market,432516.0
160,2020-01,region_32,brand_1,0.0
161,2020-01,region_32,brand_2,0.0
162,2020-01,region_32,brand_3,77954.32
163,2020-01,region_32,brand_12_market,290688.97
164,2020-01,region_32,brand_3_market,589180.24
165,2020-01,region_33,brand_1,0.0
166,2020-01,region_33,brand_2,0.0
167,2020-01,region_33,brand_3,96570.59
168,2020-01,region_33,brand_12_market,383101.07
169,2020-01,region_33,brand_3_market,792749.43
170,2020-01,region_34,brand_1,0.0
171,2020-01,region_34,brand_2,0.0
172,2020-01,region_34,brand_3,37382.86
173,2020-01,region_34,brand_12_market,421035.17
174,2020-01,region_34,brand_3_market,728318.86
175,2020-01,region_35,brand_1,0.0
176,2020-01,region_35,brand_2,0.0
177,2020-01,region_35,brand_3,75350.45
178,2020-01,region_35,brand_12_market,374193.42
179,2020-01,region_35,brand_3_market,807277.07
180,2020-01,region_36,brand_1,0.0
181,2020-01,region_36,brand_2,0.0
182,2020-01,region_36,brand_3,36275.25
183,2020-01,region_36,brand_12_market,234630.33
184,2020-01,region_36,brand_3_market,427449.66
185,2020-01,region_37,brand_1,0.0
186,2020-01,region_37,brand_2,0.0
187,2020-01,region_37,brand_3,20860.29
188,2020-01,region_37,brand_12_market,228424.34
189,2020-01,region_37,brand_3_market,427757.93
190,2020-01,region_38,brand_1,0.0
191,2020-01,region_38,brand_2,0.0
192,2020-01,region_38,brand_3,53920.25
193,2020-01,region_38,brand_12_market,293622.32
194,2020-01,region_38,brand_3_market,586447.3
195,2020-01,region_39,brand_1,0.0
196,2020-01,region_39,brand_2,0.0
197,2020-01,region_39,brand_3,70406.51
198,2020-01,region_39,brand_12_market,363795.1
199,2020-01,region_39,brand_3_market,779493.77
200,2020-01,region_40,brand_1,0.0
201,2020-01,region_40,brand_2,0.0
202,2020-01,region_40,brand_3,48359.57
203,2020-01,region_40,brand_12_market,304113.6
204,2020-01,region_40,brand_3_market,560497.19
205,2020-01,region_41,brand_1,0.0
206,2020-01,region_41,brand_2,0.0
207,2020-01,region_41,brand_3,50500.47
208,2020-01,region_41,brand_12_market,363077.68
209,2020-01,region_41,brand_3_market,721928.92
210,2020-01,region_42,brand_1,0.0
211,2020-01,region_42,brand_2,0.0
212,2020-01,region_42,brand_3,45914.09
213,2020-01,region_42,brand_12_market,300179.64
214,2020-01,region_42,brand_3_market,608474.24
215,2020-01,region_43,brand_1,0.0
216,2020-01,region_43,brand_2,0.0
217,2020-01,region_43,brand_3,77901.77
218,2020-01,region_43,brand_12_market,385815.14
219,2020-01,region_43,brand_3_market,871211.44
220,2020-01,region_44,brand_1,0.0
221,2020-01,region_44,brand_2,0.0
222,2020-01,region_44,brand_3,45018.71
223,2020-01,region_44,brand_12_market,456896.06
224,2020-01,region_44,brand_3_market,777270.85
225,2020-01,region_45,brand_1,0.0
226,2020-01,region_45,brand_2,0.0
227,2020-01,region_45,brand_3,96178.07
228,2020-01,region_45,brand_12_market,425163.8
229,2020-01,region_45,brand_3_market,924453.28
230,2020-01,region_46,brand_1,0.0
231,2020-01,region_46,brand_2,0.0
232,2020-01,region_46,brand_3,14128.08
233,2020-01,region_46,brand_12_market,171108.02
234,2020-01,region_46,brand_3_market,280128.7
235,2020-01,region_47,brand_1,0.0
236,2020-01,region_47,brand_2,0.0
237,2020-01,region_47,brand_3,16868.04
238,2020-01,region_47,brand_12_market,217028.44
239,2020-01,region_47,brand_3_market,383373.17
240,2020-01,region_48,brand_1,0.0
241,2020-01,region_48,brand_2,0.0
242,2020-01,region_48,brand_3,55077.53
243,2020-01,region_48,brand_12_market,358565.56
244,2020-01,region_48,brand_3_market,725467.98
245,2020-01,region_49,brand_1,0.0
246,2020-01,region_49,brand_2,0.0
247,2020-01,region_49,brand_3,50318.54
248,2020-01,region_49,brand_12_market,420763.73
249,2020-01,region_49,brand_3_market,777028.58
250,2020-01,region_50,brand_1,0.0
251,2020-01,region_50,brand_2,0.0
252,2020-01,region_50,brand_3,59437.99
253,2020-01,region_50,brand_12_market,276888.38
254,2020-01,region_50,brand_3_market,523092.52
255,2020-01,region_51,brand_1,0.0
256,2020-01,region_51,brand_2,0.0
257,2020-01,region_51,brand_3,86464.7
258,2020-01,region_51,brand_12_market,223890.54
259,2020-01,region_51,brand_3_market,542596.2
260,2020-01,region_52,brand_1,0.0
261,2020-01,region_52,brand_2,0.0
262,2020-01,region_52,brand_3,43543.3
263,2020-01,region_52,brand_12_market,384036.45
264,2020-01,region_52,brand_3_market,707061.42
265,2020-01,region_53,brand_1,0.0
266,2020-01,region_53,brand_2,0.0
267,2020-01,region_53,brand_3,28105.19
268,2020-01,region_53,brand_12_market,243178.77
269,2020-01,region_53,brand_3_market,422814.12
270,2020-01,region_54,brand_1,0.0
271,2020-01,region_54,brand_2,0.0
272,2020-01,region_54,brand_3,99647.98
273,2020-01,region_54,brand_12_market,306415.7
274,2020-01,region_54,brand_3_market,658900.61
275,2020-01,region_55,brand_1,0.0
276,2020-01,region_55,brand_2,0.0
277,2020-01,region_55,brand_3,57998.39
278,2020-01,region_55,brand_12_market,292005.37
279,2020-01,region_55,brand_3_market,594562.95
280,2020-01,region_56,brand_1,0.0
281,2020-01,region_56,brand_2,0.0
282,2020-01,region_56,brand_3,46814.69
283,2020-01,region_56,brand_12_market,244339.92
284,2020-01,region_56,brand_3_market,463252.9
285,2020-01,region_57,brand_1,0.0
286,2020-01,region_57,brand_2,0.0
287,2020-01,region_57,brand_3,56150.39
288,2020-01,region_57,brand_12_market,297371.28
289,2020-01,region_57,brand_3_market,567020.04
290,2020-01,region_58,brand_1,0.0
291,2020-01,region_58,brand_2,0.0
292,2020-01,region_58,brand_3,8786.32
293,2020-01,region_58,brand_12_market,169074.91
294,2020-01,region_58,brand_3_market,312655.32
295,2020-01,region_59,brand_1,0.0
296,2020-01,region_59,brand_2,0.0
297,2020-01,region_59,brand_3,38526.28
298,2020-01,region_59,brand_12_market,323525.34
299,2020-01,region_59,brand_3_market,602452.95
300,2020-01,region_60,brand_1,0.0
301,2020-01,region_60,brand_2,0.0
302,2020-01,region_60,brand_3,27376.51
303,2020-01,region_60,brand_12_market,241363.33
304,2020-01,region_60,brand_3_market,461534.14
305,2020-01,region_61,brand_1,0.0
306,2020-01,region_61,brand_2,0.0
307,2020-01,region_61,brand_3,51750.67
308,2020-01,region_61,brand_12_market,365225.06
309,2020-01,region_61,brand_3_market,673072.27
310,2020-01,region_62,brand_1,0.0
311,2020-01,region_62,brand_2,0.0
312,2020-01,region_62,brand_3,38162.98
