,month,region,brand,sales
0,2020-01,region_0,brand_12_market,509023.69
1,2020-02,region_0,brand_12_market,458929.0
2,2020-03,region_0,brand_12_market,477955.06
3,2020-04,region_0,brand_12_market,496981.12
4,2020-05,region_0,brand_12_market,473531.38
5,2020-06,region_0,brand_12_market,462831.86
6,2020-07,region_0,brand_12_market,501181.82
7,2020-08,region_0,brand_12_market,478167.37
8,2020-09,region_0,brand_12_market,463424.44
9,2020-10,region_0,brand_12_market,529006.82
10,2020-11,region_0,brand_12_market,522498.6
11,2020-12,region_0,brand_12_market,543796.76
12,2021-01,region_0,brand_12_market,505188.62
13,2021-02,region_0,brand_12_market,517642.4
14,2021-03,region_0,brand_12_market,614682.66
15,2021-04,region_0,brand_12_market,609680.12
16,2021-05,region_0,brand_12_market,555279.23
17,2021-06,region_0,brand_12_market,598573.06
18,2021-07,region_0,brand_12_market,607265.25
19,2021-08,region_0,brand_12_market,560994.86
20,2020-01,region_1,brand_12_market,344182.42
21,2020-02,region_1,brand_12_market,300926.27
22,2020-03,region_1,brand_12_market,312868.88
23,2020-04,region_1,brand_12_market,324811.49
24,2020-05,region_1,brand_12_market,305830.89
25,2020-06,region_1,brand_12_market,291465.87
26,2020-07,region_1,brand_12_market,367384.5
27,2020-08,region_1,brand_12_market,246224.45
28,2020-09,region_1,brand_12_market,336842.82
29,2020-10,region_1,brand_12_market,369632.91
30,2020-11,region_1,brand_12_market,329744.34
31,2020-12,region_1,brand_12_market,371283.56
32,2021-01,region_1,brand_12_market,306729.35
33,2021-02,region_1,brand_12_market,309525.12
34,2021-03,region_1,brand_12_market,375110.11
35,2021-04,region_1,brand_12_market,371256.48
36,2021-05,region_1,brand_12_market,322650.99
37,2021-06,region_1,brand_12_market,354094.0
38,2021-07,region_1,brand_12_market,414438.74
39,2021-08,region_1,brand_12_market,288076.05
40,2020-01,region_2,brand_12_market,232335.01
41,2020-02,region_2,brand_12_market,227906.64
42,2020-03,region_2,brand_12_market,226839.99
43,2020-04,region_2,brand_12_market,225773.34
44,2020-05,region_2,brand_12_market,199407.7
45,2020-06,region_2,brand_12_market,212064.84
46,2020-07,region_2,brand_12_market,210467.4
47,2020-08,region_2,brand_12_market,209980.5
48,2020-09,region_2,brand_12_market,221172.59
49,2020-10,region_2,brand_12_market,230230.88
50,2020-11,region_2,brand_12_market,233894.56
51,2020-12,region_2,brand_12_market,239959.81
52,2021-01,region_2,brand_12_market,217175.96
53,2021-02,region_2,brand_12_market,220195.98
54,2021-03,region_2,brand_12_market,254430.04
55,2021-04,region_2,brand_12_market,250852.99
56,2021-05,region_2,brand_12_market,230616.73
57,2021-06,region_2,brand_12_market,249076.8
58,2021-07,region_2,brand_12_market,238937.21
59,2021-08,region_2,brand_12_market,224668.29
60,2020-01,region_3,brand_12_market,233121.0
61,2020-02,region_3,brand_12_market,223757.0
62,2020-03,region_3,brand_12_market,227677.545
63,2020-04,region_3,brand_12_market,231598.09
64,2020-05,region_3,brand_12_market,220992.53
65,2020-06,region_3,brand_12_market,220138.43
66,2020-07,region_3,brand_12_market,244248.99
67,2020-08,region_3,brand_12_market,182054.5
68,2020-09,region_3,brand_12_market,220144.94
69,2020-10,region_3,brand_12_market,246775.2
70,2020-11,region_3,brand_12_market,239457.11
71,2020-12,region_3,brand_12_market,251346.52
72,2021-01,region_3,brand_12_market,206951.76
73,2021-02,region_3,brand_12_market,214218.72
74,2021-03,region_3,brand_12_market,247174.7
75,2021-04,region_3,brand_12_market,252601.29
76,2021-05,region_3,brand_12_market,230236.58
77,2021-06,region_3,brand_12_market,243819.71
78,2021-07,region_3,brand_12_market,265542.88
79,2021-08,region_3,brand_12_market,192415.02
80,2020-01,region_4,brand_12_market,275719.49
81,2020-02,region_4,brand_12_market,262451.41
82,2020-03,region_4,brand_12_market,273433.94499999995
83,2020-04,region_4,brand_12_market,284416.48
84,2020-05,region_4,brand_12_market,251176.45
85,2020-06,region_4,brand_12_market,258375.76
86,2020-07,region_4,brand_12_market,279206.1
87,2020-08,region_4,brand_12_market,227005.57
88,2020-09,region_4,brand_12_market,268678.63
89,2020-10,region_4,brand_12_market,298015.17
