,region,month,delta_nr_contacts_1,delta_hcp_contacted_1,delta_mails_opened_1,delta_mails_clicked_1,delta_nr_contacts_2,delta_hcp_contacted_2,delta_mails_opened_2,delta_mails_clicked_2
0,region_0,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,region_0,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,region_0,2020-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,region_0,2020-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,region_0,2020-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,region_0,2020-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,region_0,2020-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,region_0,2020-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,region_0,2020-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,region_0,2020-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,region_0,2020-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,region_0,2020-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,region_0,2021-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,region_0,2021-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,region_0,2021-03,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
15,region_0,2021-04,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
16,region_0,2021-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,region_0,2021-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,region_0,2021-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,region_0,2021-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,region_1,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,region_1,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,region_1,2020-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,region_1,2020-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,region_1,2020-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,region_1,2020-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,region_1,2020-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,region_1,2020-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,region_1,2020-09,10.0,5.0,10.0,10.0,42.0,22.0,42.0,42.0
29,region_1,2020-10,-10.0,-5.0,-10.0,-10.0,-41.0,-21.0,-41.0,-41.0
30,region_1,2020-11,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
31,region_1,2020-12,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0
32,region_1,2021-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,region_1,2021-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,region_1,2021-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,region_1,2021-04,7.0,6.0,7.0,7.0,18.0,14.0,18.0,18.0
36,region_1,2021-05,-7.0,-6.0,-7.0,-7.0,-18.0,-14.0,-18.0,-18.0
37,region_1,2021-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,region_1,2021-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,region_1,2021-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,region_2,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,region_2,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,region_2,2020-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,region_2,2020-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,region_2,2020-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,region_2,2020-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,region_2,2020-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,region_2,2020-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,region_2,2020-09,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
49,region_2,2020-10,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0
50,region_2,2020-11,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
51,region_2,2020-12,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0
52,region_2,2021-01,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
53,region_2,2021-02,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
54,region_2,2021-03,-1.0,-1.0,-1.0,-1.0,-3.0,-3.0,-3.0,-3.0
55,region_2,2021-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,region_2,2021-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,region_2,2021-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,region_2,2021-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,region_2,2021-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,region_3,2020-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,region_3,2020-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,region_3,2020-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,region_3,2020-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,region_3,2020-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,region_3,2020-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,region_3,2020-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,region_3,2020-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,region_3,2020-09,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0
69,region_3,2020-10,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0
70,region_3,2020-11,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
71,region_3,2020-12,-5.0,-5.0,-5.0,-5.0,-3.0,-3.0,-3.0,-3.0
72,region_3,2021-01,14.0,7.0,14.0,14.0,11.0,9.0,11.0,11.0
73,region_3,2021-02,-14.0,-7.0,-14.0,-14.0,-12.0,-10.0,-12.0,-12.0
74,region_3,2021-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,region_3,2021-04,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
